interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,coast,east,far_west,north,north_central,south_central,southern,west,system_total
2025-11-01T00:00:00-05:00,2025-11-01 05:00:00+00:00,2025-11-01T01:00:00-05:00,2025-11-01 06:00:00+00:00,10413.77,1465.04,6710.75,1735.92,10758.64,6394.13,3331.19,1251.39,42060.82
2025-11-01T01:00:00-05:00,2025-11-01 06:00:00+00:00,2025-11-01T02:00:00-05:00,2025-11-01 07:00:00+00:00,10138.47,1446.93,7495.45,1622.87,10427.68,6194.01,3322.69,1128.48,41776.58
2025-11-01T02:00:00-05:00,2025-11-01 07:00:00+00:00,2025-11-01T03:00:00-05:00,2025-11-01 08:00:00+00:00,10062.14,1425.31,7375.44,1594.3,10076.88,6010.17,3296.8,1141.94,40982.97
2025-11-01T03:00:00-05:00,2025-11-01 08:00:00+00:00,2025-11-01T04:00:00-05:00,2025-11-01 09:00:00+00:00,9881.95,1439.15,7291.47,1578.04,9781.41,5922.77,3122.7,1143.6,40161.09
2025-11-01T04:00:00-05:00,2025-11-01 09:00:00+00:00,2025-11-01T05:00:00-05:00,2025-11-01 10:00:00+00:00,9851.16,1338.58,7591.73,1577.12,9692.73,5925.87,3099.86,1088.93,40165.96
2025-11-01T05:00:00-05:00,2025-11-01 10:00:00+00:00,2025-11-01T06:00:00-05:00,2025-11-01 11:00:00+00:00,9908.93,1355.75,7412.51,1679.46,9942.15,5985.01,3093.28,1099.12,40476.22
2025-11-01T06:00:00-05:00,2025-11-01 11:00:00+00:00,2025-11-01T07:00:00-05:00,2025-11-01 12:00:00+00:00,10259.45,1438.25,6971.65,1691.31,10320.38,6199.02,3131.37,1115.24,41126.66
2025-11-01T07:00:00-05:00,2025-11-01 12:00:00+00:00,2025-11-01T08:00:00-05:00,2025-11-01 13:00:00+00:00,10489.93,1444.72,7015.96,1772.16,10805.95,6466.82,3159.97,1176.8,42332.31
2025-11-01T08:00:00-05:00,2025-11-01 13:00:00+00:00,2025-11-01T09:00:00-05:00,2025-11-01 14:00:00+00:00,10715.73,1472.65,7120.45,1929.8,11461.6,6692.52,3239.13,1244.21,43876.08
2025-11-01T09:00:00-05:00,2025-11-01 14:00:00+00:00,2025-11-01T10:00:00-05:00,2025-11-01 15:00:00+00:00,11261.11,1527.18,7866.79,1921.14,12220.15,6923.84,3421.9,1322.62,46464.73
2025-11-01T10:00:00-05:00,2025-11-01 15:00:00+00:00,2025-11-01T11:00:00-05:00,2025-11-01 16:00:00+00:00,11597.65,1549.08,8186.59,1957.71,12697.69,7077.53,3709.22,1385.79,48161.26
2025-11-01T11:00:00-05:00,2025-11-01 16:00:00+00:00,2025-11-01T12:00:00-05:00,2025-11-01 17:00:00+00:00,12018.67,1740.69,8062.68,2042.39,12795.82,7096.15,3980.92,1455.73,49193.05
2025-11-01T12:00:00-05:00,2025-11-01 17:00:00+00:00,2025-11-01T13:00:00-05:00,2025-11-01 18:00:00+00:00,12536.98,2069.05,8003.93,2003.6,12597.27,7332.32,4066.36,1372.45,49981.94
2025-11-01T13:00:00-05:00,2025-11-01 18:00:00+00:00,2025-11-01T14:00:00-05:00,2025-11-01 19:00:00+00:00,12413.48,1789.42,7816.44,1943.94,12459.04,7422.03,4358.06,1377.31,49579.72
2025-11-01T14:00:00-05:00,2025-11-01 19:00:00+00:00,2025-11-01T15:00:00-05:00,2025-11-01 20:00:00+00:00,12393.81,1634.2,7741.44,1938.26,12426.17,7377.6,4535.24,1391.74,49438.45
2025-11-01T15:00:00-05:00,2025-11-01 20:00:00+00:00,2025-11-01T16:00:00-05:00,2025-11-01 21:00:00+00:00,12473.36,1604.74,7753.13,1993.04,12578.39,7304.91,4653.97,1560.7,49922.25
2025-11-01T16:00:00-05:00,2025-11-01 21:00:00+00:00,2025-11-01T17:00:00-05:00,2025-11-01 22:00:00+00:00,12692.39,1569.43,7806.5,1967.79,12479.62,7455.28,4805.13,1469.84,50245.98
2025-11-01T17:00:00-05:00,2025-11-01 22:00:00+00:00,2025-11-01T18:00:00-05:00,2025-11-01 23:00:00+00:00,12303.56,1517.85,7675.08,1960.0,12208.63,7368.31,4764.98,1303.82,49102.23
2025-11-01T18:00:00-05:00,2025-11-01 23:00:00+00:00,2025-11-01T19:00:00-05:00,2025-11-02 00:00:00+00:00,12179.68,1516.54,7381.45,1960.15,12262.52,7403.59,4653.05,1272.61,48629.59
2025-11-01T19:00:00-05:00,2025-11-02 00:00:00+00:00,2025-11-01T20:00:00-05:00,2025-11-02 01:00:00+00:00,11270.18,1486.92,7189.09,1993.91,12415.02,7446.07,4545.25,1281.0,47627.44
2025-11-01T20:00:00-05:00,2025-11-02 01:00:00+00:00,2025-11-01T21:00:00-05:00,2025-11-02 02:00:00+00:00,11064.99,1513.57,6884.67,1960.96,12142.51,7299.54,4236.36,1253.58,46356.18
2025-11-01T21:00:00-05:00,2025-11-02 02:00:00+00:00,2025-11-01T22:00:00-05:00,2025-11-02 03:00:00+00:00,10910.92,1574.56,6963.46,1899.79,11987.91,7232.26,4058.02,1251.62,45878.53
2025-11-01T22:00:00-05:00,2025-11-02 03:00:00+00:00,2025-11-01T23:00:00-05:00,2025-11-02 04:00:00+00:00,10573.33,1577.95,7379.7,1884.15,11527.88,6868.71,3905.76,1261.28,44978.76
2025-11-01T23:00:00-05:00,2025-11-02 04:00:00+00:00,2025-11-02T00:00:00-05:00,2025-11-02 05:00:00+00:00,10138.41,1543.03,7390.44,1835.22,10864.27,6609.62,3838.29,1321.68,43540.96
2025-11-02T00:00:00-05:00,2025-11-02 05:00:00+00:00,2025-11-02T01:00:00-05:00,2025-11-02 06:00:00+00:00,9728.56,1454.68,7510.2,1897.28,10653.42,6389.27,3906.18,1328.22,42867.8
2025-11-02T01:00:00-05:00,2025-11-02 06:00:00+00:00,2025-11-02T01:00:00-06:00,2025-11-02 07:00:00+00:00,9561.56,1460.69,7519.88,1742.19,10222.32,6449.33,3968.91,1287.86,42212.74
2025-11-02T01:00:00-06:00,2025-11-02 07:00:00+00:00,2025-11-02T02:00:00-06:00,2025-11-02 08:00:00+00:00,9332.75,1439.27,7482.9,1583.13,10003.46,6018.47,3723.66,1245.02,40828.66
2025-11-02T02:00:00-06:00,2025-11-02 08:00:00+00:00,2025-11-02T03:00:00-06:00,2025-11-02 09:00:00+00:00,9216.34,1395.98,7400.75,1627.51,9897.83,5847.08,3417.44,1188.32,39991.25
