From Number,To Number,To Nom kV,From Nom kV,Circuit,Status,Branch Device Type,Xfrmr,R,X,B,Lim MVA A,Lim MVA B,Lim MVA C
1001,1064,115.000,115.000,1,Closed,Line,NO,0.00524,0.03580,0.00609,221.0,0.0,0.0
1001,1064,115.000,115.000,2,Closed,Line,NO,0.00524,0.03580,0.00609,221.0,0.0,0.0
1001,1071,115.000,115.000,1,Closed,Line,NO,0.00435,0.02808,0.00536,221.0,0.0,0.0
1001,1071,115.000,115.000,2,Closed,Line,NO,0.00435,0.02808,0.00536,221.0,0.0,0.0
1001,1071,115.000,115.000,3,Closed,Line,NO,0.00117,0.00574,0.00035,187.4,187.4,187.4
1001,1071,115.000,115.000,4,Closed,Line,NO,0.00117,0.00574,0.00035,187.4,187.4,187.4
1001,1071,115.000,115.000,5,Closed,Line,NO,0.00117,0.00574,0.00035,187.4,187.4,187.4
1001,1071,115.000,115.000,6,Closed,Line,NO,0.00117,0.00574,0.00035,187.4,187.4,187.4
1001,1130,115.000,115.000,1,Closed,Line,NO,0.00429,0.02048,0.00953,115.7,115.7,115.7
1001,12667,230.000,115.000,1,Closed,Transformer,YES,0.00010,0.00750,0.00000,600.0,600.0,600.0
1001,12667,230.000,115.000,2,Closed,Transformer,YES,0.00010,0.00750,0.00000,600.0,600.0,600.0
1002,1007,115.000,115.000,1,Closed,Line,NO,0.07776,0.46693,0.06336,98.0,0.0,0.0
1003,1022,115.000,115.000,1,Closed,Line,NO,0.00485,0.02012,0.00341,450.0,0.0,0.0
1003,1055,115.000,115.000,1,Closed,Line,NO,0.01574,0.03782,0.00513,98.0,0.0,0.0
1004,1003,115.000,230.000,1,Closed,Transformer,YES,0.00450,0.03000,0.00000,373.0,373.0,373.0
1004,1127,230.000,230.000,1,Closed,Line,NO,0.00379,0.03128,0.19521,547.0,547.0,547.0
1004,3133,230.000,230.000,1,Closed,Line,NO,0.00420,0.03000,0.05500,523.0,0.0,0.0
1004,12788,230.000,230.000,1,Closed,Line,NO,0.00292,0.02557,0.05772,444.7,444.7,444.7
1004,12814,230.000,230.000,1,Closed,Line,NO,0.00168,0.01541,0.07006,685.0,685.0,685.0
1005,1061,115.000,115.000,1,Closed,Line,NO,0.00599,0.02484,0.00422,221.0,0.0,0.0
1005,1104,115.000,115.000,1,Closed,Line,NO,0.01781,0.05756,0.00962,125.4,125.4,125.4
1005,1134,115.000,115.000,1,Closed,Line,NO,0.00575,0.02991,0.01080,125.2,125.2,125.2
1005,13409,115.000,115.000,1,Closed,Line,NO,0.00437,0.02305,0.00567,127.0,127.0,127.0
1006,1005,115.000,13.800,1,Closed,Transformer,YES,0.00127,0.02903,0.00000,174.5,174.5,174.5
1007,1015,115.000,115.000,1,Closed,Line,NO,0.06224,0.37375,0.05072,98.0,0.0,0.0
1008,1032,115.000,115.000,1,Closed,Line,NO,0.04501,0.11002,0.01441,220.0,0.0,0.0
1008,1036,115.000,115.000,1,Closed,Line,NO,0.01490,0.07190,0.03034,184.0,184.0,184.0
1008,1069,115.000,115.000,1,Closed,Line,NO,0.00830,0.03628,0.00553,149.0,0.0,0.0
1008,13087,115.000,115.000,1,Closed,Line,NO,0.00327,0.01000,0.00208,134.5,134.5,134.5
1008,13137,115.000,115.000,1,Closed,Line,NO,0.00142,0.00641,0.00389,107.2,107.2,107.2
1008,13274,115.000,115.000,1,Closed,Line,NO,0.00255,0.01121,0.00192,116.8,116.8,116.8
1008,13277,115.000,115.000,1,Closed,Line,NO,0.00190,0.00800,0.00106,118.1,118.1,118.1
1008,13361,115.000,115.000,1,Closed,Line,NO,0.00214,0.01013,0.00894,111.9,111.9,111.9
1008,13399,115.000,115.000,1,Closed,Line,NO,0.00080,0.00406,0.00106,113.7,113.7,113.7
