Branch
Nom kV (Max),From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,MW From ,Lim MVA,% of MVA Limit (Max),MW Loss
115.0,6134,GRANGER 0,6358,GEORGETOWN 1 0,1,Closed,Line,NO,209.2,220.0,98.3,6.89
115.0,7044,VICTORIA 2 2,13356,VICTORIA 5 1,1,Closed,Line,NO,-183.1,191.2,98.1,0.13
500.0,12808,LOCKNEY 1 500,12883,FLOYDADA 1 500,1,Closed,Line,NO,2008.2,2083.9,97.1,14.83
115.0,4176,BRUNI 1 0,4197,OILTON 2,1,Closed,Line,NO,208.4,216.4,96.5,3.91
115.0,6024,AUSTIN 10 0,6256,AUSTIN 2 2,1,Closed,Line,NO,-102.2,124.0,95.7,0.45
115.0,7237,FULSHEAR 0,7088,RICHMOND 2 0,1,Closed,Line,NO,187.9,200.0,94.5,4.33
161.0,12754,TRUSCOTT 1 1,12945,CHILDRESS 1 1,1,Closed,Line,NO,-232.3,256.5,93.9,6.50
500.0,2097,RALLS 1 1,2096,RALLS 1 0,1,Closed,Transformer,YES,765.0,836.0,92.0,0.67
115.0,4197,OILTON 2,13067,MIRANDO 1 1,1,Closed,Line,NO,-169.2,187.0,91.8,2.05
115.0,4197,OILTON 2,13067,MIRANDO 1 1,2,Closed,Line,NO,-169.2,187.0,91.8,2.05
115.0,6134,GRANGER 0,6140,JARRELL 0,1,Closed,Line,NO,-216.8,246.0,90.8,5.30
500.0,5055,GRAHAM 0,12637,GRAHAM 1 500,1,Closed,Line,NO,-1954.3,2173.8,90.2,6.04
500.0,12592,RIESEL 3 3,12591,RIESEL 3 500,1,Closed,Transformer,YES,500.0,561.4,89.5,0.67
230.0,12856,MCCAMEY 2 3,12855,MCCAMEY 2 230,1,Closed,Transformer,YES,278.0,319.4,89.0,0.29
500.0,5361,BRIDGEPORT 0,5015,KELLER 2 0,1,Closed,Line,NO,3845.2,4352.0,89.0,64.66
230.0,12595,RANKIN 1 3,12594,RANKIN 1 230,1,Closed,Transformer,YES,449.5,520.6,88.3,1.48
230.0,12800,SAN PERLITA 3,4183,SAN PERLITA 0,1,Closed,Transformer,YES,301.0,350.0,87.5,0.46
115.0,4132,PEARSALL 1,13259,PEARSALL 2 1,1,Closed,Line,NO,-128.0,148.7,87.4,1.30
500.0,5449,GRAND PRAIRIE 3 1,5448,GRAND PRAIRIE 3 0,1,Closed,Transformer,YES,-1103.3,1267.0,87.3,0.83
230.0,12688,MCCAMEY 1 4,1033,MCCAMEY 1 1,1,Closed,Transformer,YES,200.0,231.1,87.1,0.59
115.0,6324,SAN ANTONIO 7 0,6320,SAN ANTONIO 9 0,1,Closed,Line,NO,213.6,250.0,86.7,2.51
500.0,12619,DAWN 1 3,12618,DAWN 1 500,1,Closed,Transformer,YES,515.0,595.9,86.7,0.82
500.0,5326,DALLAS 2 4,5322,DALLAS 2 0,1,Closed,Transformer,YES,118.0,148.3,86.6,0.07
230.0,12821,IRAAN 4 3,12820,IRAAN 4 230,1,Closed,Transformer,YES,300.0,348.7,86.6,0.78
115.0,12818,BRUNI 3 3,12816,BRUNI 3 1,1,Closed,Transformer,YES,300.0,350.0,86.4,0.31
500.0,5361,BRIDGEPORT 0,12736,ELECTRA 1 500,1,Closed,Line,NO,-2435.2,2917.5,86.3,55.28
115.0,13094,SEGUIN 3 3,13093,SEGUIN 3 1,1,Closed,Transformer,YES,200.0,233.2,86.3,1.24
230.0,12895,FORT STOCKTON 4 3,12894,FORT STOCKTON 4 230,1,Closed,Transformer,YES,255.0,295.7,86.3,0.21
161.0,5103,RICHARDSON 2 1,5139,DALLAS 42 0,1,Closed,Line,NO,178.2,233.0,86.3,0.84
230.0,4153,ARMSTRONG 1 2,4151,ARMSTRONG 1 0,1,Closed,Transformer,YES,283.2,328.9,86.2,0.47
115.0,12997,HAMLIN 1 3,12996,HAMLIN 1 1,1,Closed,Transformer,YES,215.0,249.9,86.0,0.28
500.0,12638,GRAHAM 1 3,12637,GRAHAM 1 500,1,Closed,Transformer,YES,500.0,594.8,85.9,1.30
161.0,12979,E SEYMOUR 1 3,12978,E SEYMOUR 1 1,1,Closed,Transformer,YES,225.6,263.6,85.9,1.29
230.0,3092,ABILENE 1 4,3088,ABILENE 1 0,1,Closed,Transformer,YES,200.0,234.7,85.8,0.66
161.0,12946,CHILDRESS 1 3,12945,CHILDRESS 1 1,1,Closed,Transformer,YES,240.0,280.7,85.8,1.20
115.0,13023,COYANOSA 1 3,13022,COYANOSA 1 1,1,Closed,Transformer,YES,203.8,239.1,85.8,1.19
500.0,12881,LANE CITY 1 3,12880,LANE CITY 1 500,1,Closed,Transformer,YES,260.0,303.3,85.8,0.35
115.0,13049,ODEM 3,4099,ODEM 0,1,Closed,Transformer,YES,200.2,234.4,85.4,0.40
161.0,5211,HUBBARD 0,5275,DAWSON 0,1,Closed,Line,NO,177.0,210.0,85.3,1.88
161.0,13172,ADRIAN 2 3,13171,ADRIAN 2 1,1,Closed,Transformer,YES,161.0,190.1,85.0,0.31
115.0,12915,PAWNEE 1 3,12914,PAWNEE 1 1,1,Closed,Transformer,YES,250.0,295.3,85.0,2.53
161.0,5449,GRAND PRAIRIE 3 1,5108,DALLAS 44 0,2,Closed,Line,NO,219.5,310.0,84.9,0.98
161.0,5449,GRAND PRAIRIE 3 1,5108,DALLAS 44 0,3,Closed,Line,NO,219.5,310.0,84.9,0.98
161.0,5449,GRAND PRAIRIE 3 1,5108,DALLAS 44 0,1,Closed,Line,NO,219.5,310.0,84.9,0.98
115.0,3016,BLACKWELL 0,13157,BLACKWELL 1 1,1,Closed,Line,NO,-167.5,199.7,84.9,1.61
115.0,13028,CRANE 1 3,13027,CRANE 1 1,1,Closed,Transformer,YES,203.0,239.4,84.8,0.78
115.0,13009,LOLA 1 3,13008,LOLA 1 1,1,Closed,Transformer,YES,210.0,248.4,84.7,1.97
115.0,6275,SAN ANTONIO 20 0,6324,SAN ANTONIO 7 0,2,Closed,Line,NO,-184.9,221.0,84.6,1.55
115.0,6275,SAN ANTONIO 20 0,6324,SAN ANTONIO 7 0,1,Closed,Line,NO,-184.9,221.0,84.6,1.55
115.0,13225,GOLIAD 1 3,13224,GOLIAD 1 1,1,Closed,Transformer,YES,150.0,177.7,84.4,0.19
161.0,5122,DALLAS 6 0,5308,SUNNYVALE 0,1,Closed,Line,NO,-207.7,251.0,84.3,2.03
115.0,7297,HOUSTON 50 0,7384,HOUSTON 44 0,1,Closed,Line,NO,379.1,450.0,84.3,5.70
161.0,13005,VEGA 1 3,13004,VEGA 1 1,1,Closed,Transformer,YES,210.1,252.5,84.1,0.14
115.0,13221,MCCARNEY 2 3,13220,MCCARNEY 2 1,1,Closed,Transformer,YES,150.0,178.6,84.1,0.32
115.0,4128,RIO GRANDE CITY 0,13093,SEGUIN 3 1,1,Closed,Line,NO,-195.3,239.3,84.1,3.45
161.0,12938,TRUSCOTT 2 3,12937,TRUSCOTT 2 1,1,Closed,Transformer,YES,242.8,293.3,84.0,0.26
161.0,13173,CHINA SPRING 3,5393,CHINA SPRING 0,1,Closed,Transformer,YES,161.0,193.4,83.9,0.53
115.0,13227,GOLIAD 2 3,13226,GOLIAD 2 1,1,Closed,Transformer,YES,150.0,179.1,83.8,0.36
500.0,12764,CORSICANA 3 3,12763,CORSICANA 3 500,1,Closed,Transformer,YES,240.8,288.6,83.7,0.59
161.0,2078,MUENSTER 1 1,2077,MUENSTER 1 0,1,Closed,Transformer,YES,112.5,135.3,83.6,0.53
115.0,13185,COAHOMA 3,1028,COAHOMA 0,1,Closed,Transformer,YES,158.0,190.1,83.6,0.43
115.0,7223,HOUSTON 76 0,7319,HOUSTON 66 0,1,Closed,Line,NO,183.4,220.0,83.5,0.99
161.0,13160,AMARILLO 1 3,13159,AMARILLO 1 1,1,Closed,Transformer,YES,167.8,202.1,83.4,0.57
115.0,12773,MATHIS 3,4169,MATHIS 0,1,Closed,Transformer,YES,307.1,368.7,83.3,0.93
115.0,1023,O DONNELL 2 1,1022,O DONNELL 2 0,1,Closed,Transformer,YES,180.0,217.6,83.1,0.44
161.0,5064,ARLINGTON 1 1,5125,ARLINGTON 6 0,5,Closed,Line,NO,180.2,217.3,83.1,0.36
230.0,1033,MCCAMEY 1 1,1081,ODESSA 1 10,1,Closed,Line,NO,527.4,637.0,83.1,8.05
161.0,12745,VERNON 2 3,2010,VERNON 2 0,1,Closed,Transformer,YES,350.3,425.0,83.1,0.31
115.0,13219,MCCAMEY 4 3,13218,MCCAMEY 4 1,1,Closed,Transformer,YES,150.0,180.6,83.1,0.43
500.0,12634,KRESS 1 3,12633,KRESS 1 500,1,Closed,Transformer,YES,500.0,605.1,83.0,0.60
115.0,13233,ANGLETON 2 3,13232,ANGLETON 2 1,1,Closed,Transformer,YES,150.0,180.8,83.0,0.44
115.0,6224,AUSTIN 23 0,6331,AUSTIN 22 0,1,Closed,Line,NO,-45.3,149.0,82.9,0.67
500.0,12875,IOLA 3,12874,IOLA 500,1,Closed,Transformer,YES,210.0,255.8,82.9,0.32
115.0,13229,LAREDO 8 3,13228,LAREDO 8 1,1,Closed,Transformer,YES,150.0,181.2,82.8,0.50
230.0,6335,SAN ANTONIO 47 2,6334,SAN ANTONIO 47 1,1,Closed,Transformer,YES,-212.6,271.8,82.7,0.31
161.0,13112,HASKELL 2 3,13111,HASKELL 2 1,1,Closed,Transformer,YES,200.0,243.2,82.6,1.06
115.0,13336,UVALDE 2 3,13335,UVALDE 2 1,1,Closed,Transformer,YES,100.0,121.1,82.6,0.41
115.0,7236,HOUSTON 30 0,7292,HOUSTON 69 0,1,Closed,Line,NO,-171.0,221.0,82.6,3.50
161.0,5227,TERRELL 2 0,5076,TERRELL 1 0,1,Closed,Line,NO,-152.6,187.0,82.5,1.22
500.0,2099,RALLS 1 3,2096,RALLS 1 0,1,Closed,Transformer,YES,150.0,184.4,82.5,0.14
230.0,3056,WINGATE 3,3053,WINGATE 0,1,Closed,Transformer,YES,223.5,277.1,82.5,0.64
161.0,13066,FLOYDADA 2 3,13065,FLOYDADA 2 1,1,Closed,Transformer,YES,200.0,242.6,82.4,0.23
115.0,13180,BRADY 2 3,13179,BRADY 2 1,1,Closed,Transformer,YES,160.0,194.4,82.3,0.29
500.0,5263,GLEN ROSE 1 3,5260,GLEN ROSE 1 0,1,Closed,Transformer,YES,1100.0,1378.5,82.2,0.82
500.0,12583,TULIA 1 3,12582,TULIA 1 500,1,Closed,Transformer,YES,600.0,730.3,82.2,0.22
115.0,7091,PEARLAND 2 0,7127,SUGAR LAND 2 2,1,Closed,Line,NO,-143.9,183.4,82.1,3.07
230.0,1113,IND W TWFV 9_230,12594,RANKIN 1 230,1,Closed,Line,NO,-297.9,370.3,82.0,5.88
500.0,12586,EL CAMPO 1 3,12585,EL CAMPO 1 500,1,Closed,Transformer,YES,600.0,732.2,82.0,0.69
500.0,12711,DENTON 6 4,12709,DENTON 6 500,1,Closed,Transformer,YES,125.0,153.7,82.0,0.21
230.0,12775,CRANE 3,12774,CRANE 230,1,Closed,Transformer,YES,306.0,374.2,81.8,0.53
161.0,13000,DELTA 1 3,12999,DELTA 1 1,1,Closed,Transformer,YES,150.0,183.5,81.7,0.13
