# of AC Lines,PU Volt,Number,Name,Area Name,Nom kV,Angle (Deg),Load MW,Gen MW,Act G Shunt MW,Area Num,Longitude,Latitude,Zone Num
9,1.0184,1001,ODESSA 2 0,Far West,115.00,55.17,20.78,,0.00,1,-102.279000,31.838953,1
2,1.0191,1002,PRESIDIO 2 0,Far West,115.00,62.75,27.08,,0.00,1,-104.517789,29.887110,1
2,1.0239,1003,O DONNELL 1 0,Far West,115.00,62.65,,,0.00,1,-101.642378,32.925482,1
4,1.0246,1004,O DONNELL 1 1,Far West,230.00,59.65,,,0.00,1,-101.645078,32.925482,1
6,1.0211,1005,BIG SPRING 5 0,Far West,115.00,51.76,,,0.00,1,-101.470011,32.237842,1
0,1.0293,1006,BIG SPRING 5 1,Far West,13.80,53.64,,120.00,0.00,1,-101.472171,32.230229,1
3,1.0300,1007,VAN HORN 0,Far West,115.00,63.75,10.48,,0.00,1,-104.620914,31.091014,1
9,1.0269,1008,IRAAN 2 0,Far West,115.00,75.65,,28.00,0.00,1,-102.254153,30.955647,1
0,1.0268,1009,IRAAN 2 1,Far West,13.80,80.89,,222.00,0.00,1,-102.256313,30.944224,1
3,1.0300,1010,PRESIDIO 1 0,Far West,115.00,64.49,,,0.00,1,-104.298650,29.599061,1
0,1.0301,1011,PRESIDIO 1 1,Far West,22.00,67.31,,10.00,0.00,1,-104.299460,29.597535,1
2,1.0177,1012,SANDERSON 0,Far West,115.00,55.02,2.99,,0.00,1,-101.969111,30.027132,1
5,1.0054,1013,MONAHANS 2 0,Far West,115.00,70.46,29.38,,0.00,1,-103.157446,31.482130,1
6,1.0098,1014,GRANDFALLS 0,Far West,115.00,75.30,2.22,,0.00,1,-103.111468,31.162781,1
2,1.0320,1015,MARFA 0,Far West,115.00,63.48,7.51,,0.00,1,-104.002161,30.282809,1
4,1.0285,1016,GARDEN CITY 0,Far West,115.00,57.49,2.89,,0.00,1,-101.489807,31.740801,1
4,1.0177,1017,ODESSA 4 0,Far West,115.00,55.59,34.67,,0.00,1,-102.410007,31.722721,1
5,1.0159,1018,NOTREES 0,Far West,115.00,55.52,0.08,,0.00,1,-102.629333,31.796723,1
10,1.0137,1019,MIDLAND 4 0,Far West,115.00,53.66,61.78,,0.00,1,-102.128766,31.976984,1
4,1.0300,1020,BIG SPRING 1 0,Far West,115.00,49.78,,,0.00,1,-101.113100,31.990057,1
0,1.0400,1021,BIG SPRING 1 1,Far West,13.80,55.57,,231.50,0.00,1,-101.115260,31.984867,1
3,1.0323,1022,O DONNELL 2 0,Far West,115.00,65.24,,,0.00,1,-101.577267,32.928108,1
0,1.0400,1023,O DONNELL 2 1,Far West,13.80,71.68,,180.00,0.00,1,-101.578077,32.926634,1
3,1.0136,1024,ODESSA 6 0,Far West,115.00,56.23,63.94,16.80,0.00,1,-102.630100,31.999058,1
5,1.0235,1025,BIG SPRINGS 0,Far West,115.00,50.98,,,0.00,1,-101.216400,32.036559,1
0,1.0400,1026,BIG SPRINGS 1,Far West,13.80,55.77,,124.20,0.00,1,-101.218560,32.030150,1
4,1.0166,1027,MIDLAND 2 0,Far West,115.00,51.52,101.42,,0.00,1,-102.040948,32.320760,1
4,1.0326,1028,COAHOMA 0,Far West,115.00,66.66,10.53,,0.00,1,-101.207605,32.874166,1
4,1.0127,1029,MIDLAND 3 0,Far West,115.00,53.10,131.33,,0.00,1,-102.077864,31.989941,1
3,1.0324,1030,ALPINE 0,Far West,115.00,68.48,24.63,,0.00,1,-103.221010,29.801157,1
2,1.0136,1031,FORT DAVIS 0,Far West,115.00,66.39,9.25,,0.00,1,-103.755465,31.002500,1
11,1.0120,1032,MCCAMEY 1 0,Far West,115.00,69.83,,,0.00,1,-102.177820,31.216981,1
5,1.0192,1033,MCCAMEY 1 1,Far West,230.00,65.75,,50.00,0.00,1,-102.185020,31.216981,1
8,1.0185,1034,BIG SPRING 4 0,Far West,115.00,50.79,,,0.00,1,-101.299037,31.988999,1
0,1.0286,1035,BIG SPRING 4 1,Far West,13.80,53.39,,89.50,0.00,1,-101.301197,31.978923,1
5,1.0106,1036,CRANE 0,Far West,115.00,71.76,24.12,,0.00,1,-102.591850,31.101624,1
6,1.0200,1037,ODESSA 5 0,Far West,115.00,54.65,102.24,,0.00,1,-102.470490,31.796710,1
5,1.0313,1038,FORT STOCKTON 1 0,Far West,115.00,73.84,,,0.00,1,-102.502208,30.770100,1
0,1.0400,1039,FORT STOCKTON 1 1,Far West,22.00,82.00,,132.00,0.00,1,-102.504368,30.763604,1
4,1.0196,1040,ANDREWS 0,Far West,115.00,54.23,56.23,,0.00,1,-102.695953,32.334816,1
8,1.0182,1041,FORSAN 0,Far West,115.00,51.54,,,0.00,1,-101.397250,32.139886,1
0,1.0400,1042,FORSAN 1,Far West,13.80,58.21,,121.90,0.00,1,-101.398060,32.136113,1
3,1.0183,1044,BIG LAKE 0,Far West,115.00,56.24,23.03,,0.00,1,-101.096387,31.205525,1
8,1.0090,1045,MIDLAND 5 0,Far West,115.00,53.72,112.79,,0.00,1,-102.200310,32.052689,1
3,1.0279,1046,OZONA 0,Far West,115.00,62.26,11.09,,0.00,1,-101.327639,30.573138,1
4,1.0400,1047,MONAHANS 1 0,Far West,115.00,65.83,,,0.00,1,-102.948900,31.581447,1
0,1.0400,1048,MONAHANS 1 1,Far West,18.00,73.58,,65.00,0.00,1,-102.946740,31.576233,1
0,1.0400,1049,MONAHANS 1 2,Far West,18.00,68.98,,64.00,0.00,1,-102.946740,31.575006,1
0,1.0400,1050,MONAHANS 1 3,Far West,18.00,70.11,,64.00,0.00,1,-102.946740,31.573779,1
0,1.0400,1051,MONAHANS 1 4,Far West,18.00,71.52,,64.00,0.00,1,-102.946740,31.572552,1
0,1.0400,1052,MONAHANS 1 5,Far West,18.00,74.20,,63.00,0.00,1,-102.946740,31.571325,1
6,1.0161,1053,MONAHANS 1 6,Far West,230.00,62.77,,,0.00,1,-102.956100,31.581447,1
7,1.0241,1054,STANTON 0,Far West,115.00,56.70,17.02,,0.00,1,-101.753138,32.488907,1
2,1.0138,1055,ODONNELL 0,Far West,115.00,61.57,3.98,,0.00,1,-101.763064,32.926103,1
7,1.0300,1056,LENORAH 0,Far West,115.00,53.57,,,0.00,1,-101.833100,32.232864,1
0,1.0400,1057,LENORAH 1,Far West,18.00,61.08,,120.00,0.00,1,-101.835260,32.224032,1
4,1.0241,1058,IRAAN 3 0,Far West,115.00,71.53,18.07,,0.00,1,-101.917200,30.882228,1
10,1.0190,1061,BIG SPRING 6 0,Far West,115.00,51.57,,,0.00,1,-101.418786,32.270743,1
0,1.0400,1062,BIG SPRING 6 1,Far West,13.80,57.11,,71.00,0.00,1,-101.420946,32.258262,1
0,1.0400,1063,BIG SPRING 6 2,Far West,13.80,58.18,,71.00,0.00,1,-101.420946,32.257044,1
5,1.0092,1064,ODESSA 3 0,Far West,115.00,53.67,162.00,,0.00,1,-102.308823,31.998687,1
7,1.0184,1065,BIG SPRING 3 0,Far West,115.00,51.59,,,0.00,1,-101.450035,32.099908,1
0,1.0400,1066,BIG SPRING 3 1,Far West,13.80,59.41,,142.50,0.00,1,-101.450845,32.096592,1
