Gen
Number of Bus,Sub Num of Bus,AVR,Name of Bus,ID,Min Mvar,Set Volt,Gen Mvar,Max Mvar,Status,Longitude of Bus,Latitude of Bus,Fuel Cost,IOD,IOC,IOB,Gen MW,Min MW,Max MW,AGC,Part. Factor,Fuel Type,"Ramp Rate Up, MW/Minute","Ramp Rate Down, MW/Minute"
13246,217,YES,SWEETWATER 2 3,1,-20.7000,1.0400,8.7689,30.7000,Closed,-100.421360,32.287980,0.000,0.000,0.000,0.000,144.0000,0.0000,144.0000,YES,144.0000,WND (Wind),0.000,-100.000
13205,1440,YES,SEYMOUR 3 3,1,-21.6000,1.0400,17.6666,31.9000,Closed,-99.531504,33.636074,0.000,0.000,0.000,0.000,150.0000,1.0000,150.0000,YES,150.0000,WND (Wind),0.000,-100.000
3017,157,YES,BLACKWELL 1,1,-60.3000,1.0400,73.7121,89.2000,Closed,-100.318869,32.242277,0.000,0.000,0.000,0.000,418.9000,23.0000,418.9000,YES,418.9000,WND (Wind),0.000,-100.000
13248,1459,YES,RIO HONDO 2 3,PW,-20.5000,1.0400,24.2116,30.4000,Closed,-97.494949,26.283402,0.000,0.000,0.000,0.000,142.6000,0.0000,142.6000,YES,142.6000,WND (Wind),0.000,-100.000
13195,1436,YES,FLOYDADA 3 3,1,-21.8000,1.0400,-7.3444,32.2000,Closed,-101.186188,34.066456,0.000,0.000,0.000,0.000,151.2000,0.0000,151.2000,YES,151.2000,WND (Wind),0.000,-100.000
13203,1439,YES,SEYMOUR 2 3,1,-21.6000,1.0400,0.0000,31.9000,Open,-99.409729,33.618330,0.000,0.000,0.000,0.000,0.0000,1.0000,150.0000,YES,150.0000,WND (Wind),0.000,-100.000
13143,1414,YES,BRADY 1 3,1,-25.9000,1.0400,38.3000,38.3000,Closed,-99.419826,31.235713,0.000,0.000,0.000,0.000,180.0000,180.0000,180.0000,YES,180.0000,WND (Wind),0.000,-100.000
13076,1385,YES,RIO GRANDE CITY 3 3,1,-28.8000,1.0400,3.5556,42.6000,Closed,-98.744082,26.516927,0.000,0.000,0.000,0.000,200.0000,3.0000,200.0000,YES,200.0000,WND (Wind),0.000,-100.000
13288,613,YES,JACKSBORO 2 3,1,-15.8000,1.0400,23.4000,23.4000,Closed,-98.160571,33.140682,0.000,0.000,0.000,0.000,110.0000,0.0000,110.0000,YES,110.0000,WND (Wind),0.000,-100.000
3020,158,YES,CHRISTOVAL 2,1,-28.7000,1.0400,42.5000,42.5000,Closed,-100.618074,31.038378,0.000,0.000,0.000,0.000,199.5000,2.6000,199.5000,YES,199.5000,WND (Wind),0.000,-100.000
13396,1522,YES,EDINBURG 5 1,WT,-7.3000,1.0400,10.7000,10.7000,Closed,-98.444667,26.490284,0.000,0.000,0.000,0.000,50.4000,1.0000,50.4000,YES,50.4000,WND (Wind),0.000,-100.000
13035,1367,YES,FALCON 1 3,1,-29.0000,1.0400,-19.7690,42.9000,Closed,-99.056010,26.692952,0.000,0.000,0.000,0.000,201.6000,4.2000,201.6000,YES,201.6000,WND (Wind),0.000,-100.000
13132,1409,YES,SARITA 4 3,1,-27.1000,1.0400,-10.4617,40.0000,Closed,-97.594580,27.171041,0.000,0.000,0.000,0.000,188.0000,0.0000,188.0000,YES,188.0000,WND (Wind),0.000,-100.000
13206,74,YES,SILVERTON 3,1,-21.6000,1.0400,0.0000,31.9000,Open,-101.233633,34.413707,0.000,0.000,0.000,0.000,0.0000,1.0000,150.0000,YES,150.0000,WND (Wind),0.000,-100.000
13249,1260,YES,IND W TWFV 9 3,1,-20.2000,1.0400,0.0000,29.8000,Open,-101.899260,31.788203,0.000,0.000,0.000,0.000,0.0000,0.0000,140.0000,YES,140.0000,WND (Wind),0.000,-100.000
13258,223,YES,SNYDER 2 3,1,-18.8000,1.0400,27.8000,27.8000,Closed,-100.993310,32.717561,0.000,0.000,0.000,0.000,130.5000,0.0000,130.5000,YES,130.5000,WND (Wind),0.000,-100.000
3062,180,YES,STERLING CITY 1 4,1,-21.5000,1.0400,31.8000,31.8000,Closed,-101.002376,31.941877,0.000,0.000,0.000,0.000,149.5000,21.5000,149.5000,YES,149.5000,WND (Wind),0.000,-100.000
5170,484,YES,DUBLIN 1 1,1,-7.6000,1.0400,11.2000,11.2000,Closed,-98.475511,32.335807,0.000,0.000,0.000,0.000,52.8000,1.0000,52.8000,YES,52.8000,WND (Wind),0.000,-100.000
13033,361,YES,SEBASTIAN 1 3,1,-29.0000,1.0400,34.8858,42.9000,Closed,-97.665360,26.335693,0.000,0.000,0.000,0.000,201.6000,0.1000,201.6000,YES,201.6000,WND (Wind),0.000,-100.000
12595,1277,YES,RANKIN 1 3,1,-64.7000,1.0400,95.7000,95.7000,Closed,-101.876107,31.154093,0.000,0.000,0.000,0.000,449.5000,0.0000,449.5000,YES,449.5000,WND (Wind),0.000,-100.000
4010,241,YES,SARITA 3 1,1,-29.0000,1.0400,6.6902,42.9000,Closed,-97.476878,27.015698,0.000,0.000,0.000,0.000,201.6000,0.0000,201.6000,YES,201.6000,WND (Wind),0.000,-100.000
2062,101,YES,VERNON 1 1,1,-19.5000,1.0400,4.8011,28.8000,Closed,-99.349734,34.268372,0.000,0.000,0.000,0.000,135.4000,6.8000,135.4000,YES,135.4000,WND (Wind),0.000,-100.000
4166,336,YES,SARITA 2 1,1,-29.0000,1.0400,5.7756,42.9000,Closed,-97.535772,27.116121,0.000,0.000,0.000,0.000,201.6000,0.0000,201.6000,YES,201.6000,WND (Wind),0.000,-100.000
13240,1456,YES,DEL RIO 1 3,1,-21.5000,1.0400,9.6770,31.8000,Closed,-100.793770,29.725068,0.000,0.000,0.000,0.000,149.3000,0.0000,149.3000,YES,149.3000,WND (Wind),0.000,-100.000
13139,136,YES,PANHANDLE 1 3,1,-26.2000,1.0400,0.0000,38.7000,Open,-101.369178,35.421512,0.000,0.000,0.000,0.000,0.0000,181.7000,181.7000,YES,181.7000,WND (Wind),0.000,-100.000
13164,1423,YES,EL CAMPO 3 3,1,-23.5000,1.0400,0.0000,34.8000,Open,-96.088560,29.087810,0.000,0.000,0.000,0.000,0.0000,0.0000,163.2000,YES,163.2000,WND (Wind),0.000,-100.000
13244,1458,YES,CISCO 2 3,1,-21.3000,1.0400,0.0000,31.5000,Open,-99.163658,32.299586,0.000,0.000,0.000,0.000,0.0000,0.0000,148.0000,YES,148.0000,WND (Wind),0.000,-100.000
2013,63,YES,PANHANDLE 2 2,1,-30.4000,1.0400,-5.2101,45.0000,Closed,-101.298233,35.222895,0.000,0.000,0.000,0.000,211.2000,0.0000,211.2000,YES,211.2000,WND (Wind),0.000,-100.000
13210,1442,YES,CROSBY 1 3,1,-21.6000,1.0400,0.0000,31.9000,Open,-101.340965,33.803018,0.000,0.000,0.000,0.000,0.0000,0.0000,150.0000,YES,150.0000,WND (Wind),0.000,-100.000
13208,1441,YES,HART 1 3,1,-21.6000,1.0400,-11.9215,31.9000,Closed,-102.348127,34.656298,0.000,0.000,0.000,0.000,150.0000,0.0000,150.0000,YES,150.0000,WND (Wind),0.000,-100.000
3084,192,YES,MERKEL 1 2,1,-33.5000,1.0400,0.0000,49.5000,Open,-100.175096,32.316281,0.000,0.000,0.000,0.000,0.0000,0.0000,232.5000,YES,232.5000,WND (Wind),0.000,-100.000
13042,1370,YES,SEYMOUR 1 3,1,-14.7000,1.0400,21.7000,21.7000,Closed,-99.021573,33.711776,0.000,0.000,0.000,0.000,102.0000,0.0000,102.0000,YES,102.0000,WND (Wind),0.000,-100.000
13262,219,YES,ROSCOE 3 3,1,-18.2000,1.0400,7.4975,26.9000,Closed,-100.647560,32.394994,0.000,0.000,0.000,0.000,126.5000,0.0000,126.5000,YES,126.5000,WND (Wind),0.000,-100.000
13284,221,YES,TUSOCOLA 3,1,-16.4000,1.0400,24.3000,24.3000,Closed,-100.021127,32.296928,0.000,0.000,0.000,0.000,114.0000,5.7000,114.0000,YES,114.0000,WND (Wind),0.000,-100.000
13283,1470,YES,CISCO 3 3,1,-16.5000,1.0400,24.5000,24.5000,Closed,-99.163958,32.306128,0.000,0.000,0.000,0.000,114.9000,0.0000,114.9000,YES,114.9000,WND (Wind),0.000,-100.000
3113,207,YES,STERLING CITY 2 2,2,-10.0000,1.0400,14.6741,14.8000,Closed,-100.789949,31.943085,0.000,0.000,0.000,0.000,69.6000,1.0000,69.6000,YES,69.6000,WND (Wind),0.000,-100.000
