Load
Number of Bus,Name of Bus,Area Name of Load,Zone Name of Load,ID,Status,MW,Mvar,MVA,S MW,S Mvar,Dist Status,Dist MW Input,Dist Mvar Input
7049,KATY 1 2,Coast,1,1,Closed,498.79,89.88,506.82,498.79,89.88,Closed,0.00,0.00
5449,GRAND PRAIRIE 3 1,North Central,1,1,Closed,444.81,345.90,563.47,444.81,345.90,Closed,0.00,0.00
7229,HOUSTON 90 2,Coast,1,1,Closed,441.65,80.87,448.99,441.65,80.87,Closed,0.00,0.00
5323,DALLAS 2 1,North Central,1,1,Closed,404.05,62.17,408.80,404.05,62.17,Closed,0.00,0.00
7127,SUGAR LAND 2 2,Coast,1,1,Closed,402.37,30.94,403.56,402.37,30.94,Closed,0.00,0.00
7091,PEARLAND 2 0,Coast,1,1,Closed,383.80,59.69,388.42,383.80,59.69,Closed,0.00,0.00
7177,SPRING 7 2,Coast,1,1,Closed,343.23,59.96,348.43,343.23,59.96,Closed,0.00,0.00
5048,MANSFIELD 1,North Central,1,2,Closed,334.29,178.49,378.95,334.29,178.49,Closed,0.00,0.00
6199,SAN ANTONIO 37 2,South Central,1,1,Closed,319.90,67.93,327.04,319.90,67.93,Closed,0.00,0.00
6288,SAN ANTONIO 32 1,South Central,1,1,Closed,307.39,88.02,319.75,307.39,88.02,Closed,0.00,0.00
7183,HOUSTON 77 0,Coast,1,1,Closed,303.31,61.17,309.42,303.31,61.17,Closed,0.00,0.00
7317,FRIENDSWOOD 0,Coast,1,1,Closed,283.23,-12.81,283.52,283.23,-12.81,Closed,0.00,0.00
5307,THE COLONY 0,North Central,1,1,Closed,282.86,40.67,285.77,282.86,40.67,Closed,0.00,0.00
3051,DEL RIO 1,West,1,2,Closed,282.62,40.93,285.57,282.62,40.93,Closed,0.00,0.00
4071,BROWNSVILLE 2 1,South,1,1,Closed,281.45,79.75,292.53,281.45,79.75,Closed,0.00,0.00
7220,HOUSTON 84 0,Coast,1,1,Closed,279.04,-10.33,279.24,279.04,-10.33,Closed,0.00,0.00
7181,HOUSTON 58 0,Coast,1,1,Closed,278.49,42.21,281.67,278.49,42.21,Closed,0.00,0.00
5234,FRISCO 1 0,North Central,1,1,Closed,277.33,40.42,280.26,277.33,40.42,Closed,0.00,0.00
6241,ELMENDORF 2,South Central,1,2,Closed,270.87,129.70,300.32,270.87,129.70,Closed,0.00,0.00
5053,PLANO 4 0,North Central,1,1,Closed,269.95,43.29,273.40,269.95,43.29,Closed,0.00,0.00
6047,SAN ANTONIO 2 2,South Central,1,1,Closed,263.88,42.46,267.28,263.88,42.46,Closed,0.00,0.00
5158,MESQUITE 2 0,North Central,1,1,Closed,262.44,47.66,266.73,262.44,47.66,Closed,0.00,0.00
7279,MONT BELVIEU 1,Coast,1,1,Closed,261.43,42.08,264.80,261.43,42.08,Closed,0.00,0.00
6238,AUSTIN 13 0,South Central,1,1,Closed,258.69,38.19,261.49,258.69,38.19,Closed,0.00,0.00
5412,WYLIE 0,North Central,1,1,Closed,254.42,40.97,257.69,254.42,40.97,Closed,0.00,0.00
6280,SEGUIN 2 1,South Central,1,1,Closed,253.99,-18.60,254.67,253.99,-18.60,Closed,0.00,0.00
5181,GARLAND 2 0,North Central,1,1,Closed,251.53,50.50,256.55,251.53,50.50,Closed,0.00,0.00
6236,SAN ANTONIO 50 2,South Central,1,1,Closed,247.25,48.03,251.87,247.25,48.03,Closed,0.00,0.00
5440,ARLINGTON 3 0,North Central,1,1,Closed,243.52,47.35,248.08,243.52,47.35,Closed,0.00,0.00
5385,DALLAS 3 1,North Central,1,1,Closed,240.97,68.28,250.46,240.97,68.28,Closed,0.00,0.00
7039,SUGAR LAND 3 2,Coast,1,1,Closed,235.50,-27.97,237.16,235.50,-27.97,Closed,0.00,0.00
5329,DALLAS 17 0,North Central,1,1,Closed,232.95,42.00,236.71,232.95,42.00,Closed,0.00,0.00
6121,SAN ANTONIO 25 0,South Central,1,1,Closed,232.56,96.36,251.74,232.56,96.36,Closed,0.00,0.00
5183,CARROLLTON 3 0,North Central,1,1,Closed,231.80,39.41,235.13,231.80,39.41,Closed,0.00,0.00
6037,SAN ANTONIO 12 1,South Central,1,1,Closed,231.51,41.80,235.25,231.51,41.80,Closed,0.00,0.00
6043,SAN ANTONIO 48 0,South Central,1,1,Closed,231.22,42.02,235.01,231.22,42.02,Closed,0.00,0.00
7075,HOUSTON 10 0,Coast,1,1,Closed,230.97,45.58,235.43,230.97,45.58,Closed,0.00,0.00
5157,DESOTO 0,North Central,1,1,Closed,227.99,47.62,232.91,227.99,47.62,Closed,0.00,0.00
5016,KELLER 2 1,North Central,1,1,Closed,227.15,51.33,232.88,227.15,51.33,Closed,0.00,0.00
6352,SAN ANTONIO 28 0,South Central,1,1,Closed,226.71,34.50,229.32,226.71,34.50,Closed,0.00,0.00
4040,MISSION 4 1,South,1,1,Closed,225.66,63.94,234.55,225.66,63.94,Closed,0.00,0.00
5084,MCKINNEY 3 1,North Central,1,1,Closed,224.20,94.93,243.47,224.20,94.93,Closed,0.00,0.00
7004,PASADENA 2 2,Coast,1,1,Closed,221.92,23.21,223.13,221.92,23.21,Closed,0.00,0.00
5465,FRISCO 2 1,North Central,1,1,Closed,218.17,61.81,226.76,218.17,61.81,Closed,0.00,0.00
7201,CYPRESS 1 2,Coast,1,1,Closed,216.79,61.42,225.33,216.79,61.42,Closed,0.00,0.00
7410,KATY 2 1,Coast,1,1,Closed,215.67,18.77,216.48,215.67,18.77,Closed,0.00,0.00
7283,BAYTOWN 3 1,Coast,1,1,Closed,215.13,31.02,217.35,215.13,31.02,Closed,0.00,0.00
7084,LEAGUE CITY 1,Coast,1,1,Closed,214.74,60.84,223.19,214.74,60.84,Closed,0.00,0.00
6227,AUSTIN 24 0,South Central,1,1,Closed,212.91,35.80,215.90,212.91,35.80,Closed,0.00,0.00
7145,HOUSTON 2 0,Coast,1,2,Closed,212.86,16.20,213.47,212.86,16.20,Closed,0.00,0.00
7101,HOUSTON 88 0,Coast,1,1,Closed,212.51,60.21,220.88,212.51,60.21,Closed,0.00,0.00
7185,MISSOURI CITY 2 1,Coast,1,1,Closed,209.35,-20.61,210.37,209.35,-20.61,Closed,0.00,0.00
6035,PFLUGERVILLE 2,South Central,1,1,Closed,206.37,58.47,214.49,206.37,58.47,Closed,0.00,0.00
5105,IRVING 1 0,North Central,1,1,Closed,205.94,29.83,208.09,205.94,29.83,Closed,0.00,0.00
6203,SAN ANTONIO 17 0,South Central,1,1,Closed,203.49,33.32,206.20,203.49,33.32,Closed,0.00,0.00
5126,DALLAS 8 0,North Central,1,1,Closed,203.00,-14.82,203.54,203.00,-14.82,Closed,0.00,0.00
5452,COPPERAS COVE 1,North Central,1,1,Closed,201.28,30.20,203.54,201.28,30.20,Closed,0.00,0.00
5161,DALLAS 4 0,North Central,1,1,Closed,199.65,-12.33,200.03,199.65,-12.33,Closed,0.00,0.00
7246,HOUSTON 89 0,Coast,1,1,Closed,199.51,57.93,207.75,199.51,57.93,Closed,0.00,0.00
7051,HOUSTON 29 0,Coast,1,1,Closed,199.36,84.70,216.61,199.36,84.70,Closed,0.00,0.00
7057,SPRING 8 1,Coast,1,1,Closed,197.64,30.06,199.92,197.64,30.06,Closed,0.00,0.00
6120,CEDAR PARK 2,South Central,1,1,Closed,195.30,79.96,211.03,195.30,79.96,Closed,0.00,0.00
6353,ROUND ROCK 2 0,South Central,1,1,Closed,194.47,30.59,196.86,194.47,30.59,Closed,0.00,0.00
4147,LAREDO 4 1,South,1,1,Closed,193.64,54.87,201.27,193.64,54.87,Closed,0.00,0.00
7053,RICHMOND 1 0,Coast,1,1,Closed,192.01,20.69,193.12,192.01,20.69,Closed,0.00,0.00
4066,WESLACO 0,South,1,1,Closed,191.53,54.27,199.07,191.53,54.27,Closed,0.00,0.00
6230,SAN MARCOS 2,South Central,1,1,Closed,191.51,54.26,199.05,191.51,54.26,Closed,0.00,0.00
7291,HUMBLE 2 0,Coast,1,1,Closed,191.02,28.88,193.20,191.02,28.88,Closed,0.00,0.00
5422,LEWSIVILLE 0,North Central,1,1,Closed,190.68,51.83,197.60,190.68,51.83,Closed,0.00,0.00
5433,FORT WORTH 3 0,North Central,1,1,Closed,189.93,66.76,201.32,189.93,66.76,Closed,0.00,0.00
4103,EDINBURG 1 0,South,1,1,Closed,189.88,53.80,197.35,189.88,53.80,Closed,0.00,0.00
5305,ALLEN 1 1,North Central,1,1,Closed,189.42,88.41,209.04,189.42,88.41,Closed,0.00,0.00
5258,FORNEY 0,North Central,1,1,Closed,188.85,28.39,190.97,188.85,28.39,Closed,0.00,0.00
7173,KINGWOOD 2 0,Coast,1,1,Closed,188.71,-2.50,188.72,188.71,-2.50,Closed,0.00,0.00
7178,HOUSTON 41 0,Coast,1,1,Closed,187.80,22.56,189.15,187.80,22.56,Closed,0.00,0.00
7088,RICHMOND 2 0,Coast,1,1,Closed,187.54,28.63,189.71,187.54,28.63,Closed,0.00,0.00
7044,VICTORIA 2 2,Coast,1,1,Closed,184.92,35.32,188.26,184.92,35.32,Closed,0.00,0.00
7343,KATY 3 2,Coast,1,1,Closed,184.80,52.36,192.07,184.80,52.36,Closed,0.00,0.00
7124,HOUSTON 34 0,Coast,1,1,Closed,184.73,46.65,190.53,184.73,46.65,Closed,0.00,0.00
5138,WACO 1 1,North Central,1,1,Closed,183.03,31.37,185.69,183.03,31.37,Closed,0.00,0.00
5250,DALLAS 5 0,North Central,1,1,Closed,182.70,46.77,188.60,182.70,46.77,Closed,0.00,0.00
5149,DALLAS 7 0,North Central,1,1,Closed,180.78,25.91,182.62,180.78,25.91,Closed,0.00,0.00
5480,BURLESON 1,North Central,1,1,Closed,179.23,50.78,186.29,179.23,50.78,Closed,0.00,0.00
5245,GRAPEVINE 0,North Central,1,1,Closed,178.96,39.37,183.24,178.96,39.37,Closed,0.00,0.00
6058,NEW BRAUNFELS 2 2,South Central,1,1,Closed,178.64,50.61,185.67,178.64,50.61,Closed,0.00,0.00
4193,BROWNSVILLE 1 1,South,1,1,Closed,178.22,50.50,185.24,178.22,50.50,Closed,0.00,0.00
7424,ALVIN 2,Coast,1,1,Closed,177.93,69.88,191.16,177.93,69.88,Closed,0.00,0.00
3125,ABILENE 5 0,West,1,1,Closed,177.47,25.86,179.35,177.47,25.86,Closed,0.00,0.00
6016,SAN ANTONIO 40 0,South Central,1,1,Closed,176.43,49.99,183.38,176.43,49.99,Closed,0.00,0.00
5316,MESQUITE 3 0,North Central,1,1,Closed,176.19,49.92,183.13,176.19,49.92,Closed,0.00,0.00
5409,ARLINGTON 10 0,North Central,1,1,Closed,176.04,26.22,177.98,176.04,26.22,Closed,0.00,0.00
5351,GARLAND 1 1,North Central,1,1,Closed,174.28,49.38,181.14,174.28,49.38,Closed,0.00,0.00
5213,GARLAND 4 0,North Central,1,1,Closed,173.20,26.09,175.16,173.20,26.09,Closed,0.00,0.00
6344,ROUND ROCK 3 2,South Central,1,1,Closed,172.24,61.98,183.05,172.24,61.98,Closed,0.00,0.00
5177,ARLINGTON 8 0,North Central,1,1,Closed,171.89,36.66,175.76,171.89,36.66,Closed,0.00,0.00
6224,AUSTIN 23 0,South Central,1,1,Closed,171.82,73.71,186.96,171.82,73.71,Closed,0.00,0.00
4079,MISSION 3 0,South,1,1,Closed,171.21,48.51,177.95,171.21,48.51,Closed,0.00,0.00
5346,FORT WORTH 15 0,North Central,1,1,Closed,170.62,-22.81,172.13,170.62,-22.81,Closed,0.00,0.00
7295,HOUSTON 42 0,Coast,1,1,Closed,169.98,31.41,172.86,169.98,31.41,Closed,0.00,0.00
7221,HOUSTON 83 0,Coast,1,1,Closed,169.58,-21.55,170.94,169.58,-21.55,Closed,0.00,0.00
8140,COLLEGE STATION 2 1,East,1,1,Closed,168.51,47.75,175.15,168.51,47.75,Closed,0.00,0.00
4171,SAN BENITO 0,South,1,1,Closed,167.63,47.50,174.23,167.63,47.50,Closed,0.00,0.00
6223,AUSTIN 27 1,South Central,1,1,Closed,166.84,47.27,173.41,166.84,47.27,Closed,0.00,0.00
5335,IRVING 2 0,North Central,1,1,Closed,166.71,47.23,173.27,166.71,47.23,Closed,0.00,0.00
5217,NORTH RICHLAND HILLS 2 0,North Central,1,1,Closed,165.70,28.43,168.12,165.70,28.43,Closed,0.00,0.00
5439,WAXAHACHIE 1 0,North Central,1,1,Closed,165.48,32.27,168.60,165.48,32.27,Closed,0.00,0.00
5379,FORT WORTH 9 0,North Central,1,1,Closed,164.73,46.67,171.22,164.73,46.67,Closed,0.00,0.00
6335,SAN ANTONIO 47 2,South Central,1,1,Closed,164.71,46.67,171.19,164.71,46.67,Closed,0.00,0.00
4005,LAREDO 7 1,South,1,1,Closed,164.14,46.51,170.60,164.14,46.51,Closed,0.00,0.00
5294,DALLAS 12 0,North Central,1,1,Closed,163.90,31.49,166.90,163.90,31.49,Closed,0.00,0.00
7157,SPRING 2 1,Coast,1,1,Closed,163.83,46.42,170.28,163.83,46.42,Closed,0.00,0.00
7417,HOUSTON 64 0,Coast,1,1,Closed,163.64,27.73,165.97,163.64,27.73,Closed,0.00,0.00
7216,HOUSTON 46 0,Coast,1,1,Closed,161.88,26.23,163.99,161.88,26.23,Closed,0.00,0.00
7387,HUMBLE 1 0,Coast,1,1,Closed,160.73,-31.55,163.80,160.73,-31.55,Closed,0.00,0.00
6175,AUSTIN 16 0,South Central,1,1,Closed,160.48,27.37,162.80,160.48,27.37,Closed,0.00,0.00
5254,ROANOKE 0,North Central,1,1,Closed,160.33,23.50,162.05,160.33,23.50,Closed,0.00,0.00
5463,IRVING 4 0,North Central,1,1,Closed,160.33,45.43,166.64,160.33,45.43,Closed,0.00,0.00
4015,EAGLE PASS 1,South,1,1,Closed,159.81,45.28,166.10,159.81,45.28,Closed,0.00,0.00
4067,HARLINGEN 1 0,South,1,1,Closed,159.46,103.21,189.94,159.46,103.21,Closed,0.00,0.00
5339,SOUTHLAKE 0,North Central,1,1,Closed,158.58,22.67,160.19,158.58,22.67,Closed,0.00,0.00
5098,FORT WORTH 24 0,North Central,1,2,Closed,157.67,25.26,159.68,157.67,25.26,Closed,0.00,0.00
7425,HOUSTON 86 0,Coast,1,1,Closed,156.98,69.11,171.52,156.98,69.11,Closed,0.00,0.00
7427,HOUSTON 87 0,Coast,1,1,Closed,156.45,44.33,162.61,156.45,44.33,Closed,0.00,0.00
7386,HOUSTON 71 0,Coast,1,1,Closed,156.32,31.68,159.50,156.32,31.68,Closed,0.00,0.00
7241,HOUSTON 70 0,Coast,1,1,Closed,156.28,90.94,180.82,156.28,90.94,Closed,0.00,0.00
5266,CEDAR HILL 0,North Central,1,1,Closed,156.16,38.57,160.85,156.16,38.57,Closed,0.00,0.00
1064,ODESSA 3 0,Far West,1,2,Closed,155.41,33.20,158.91,155.41,33.20,Closed,0.00,0.00
5277,LITTLE ELM 0,North Central,1,1,Closed,155.37,29.69,158.18,155.37,29.69,Closed,0.00,0.00
5248,BEDFORD 1 0,North Central,1,1,Closed,155.19,28.62,157.80,155.19,28.62,Closed,0.00,0.00
5224,CARROLLTON 2 0,North Central,1,1,Closed,154.87,43.88,160.97,154.87,43.88,Closed,0.00,0.00
5265,KELLER 1 0,North Central,1,1,Closed,154.01,29.45,156.80,154.01,29.45,Closed,0.00,0.00
