Resource,Derating_Factor_1
OTH_4100_2,0.95
OTH_4100_1,0.95
OTH_4069_3,0.95
OTH_7312_1,0.95
OTH_7086_1,0.95
OTH_13408_1,0.95
OTH_13407_1,0.95
OTH_13407_2,0.95
OBL_4090_1,0.95
OBL_8099_1,0.95
OBL_13398_1,0.95
NUC_5263_2,0.95
NUC_7099_2,0.95
NUC_7098_1,0.95
NUC_5262_1,0.95
NG_6233_2,0.95
NG_6233_1,0.95
NG_13270_3,0.95
NG_13270_4,0.95
NG_6182_4,0.95
NG_6182_3,0.95
NG_12577_1,0.95
NG_6182_2,0.95
NG_12574_1,0.95
NG_6175_3,0.95
NG_6175_2,0.95
NG_4085_4,0.95
NG_6175_1,0.95
NG_12561_1,0.95
NG_4084_3,0.95
NG_6166_1,0.95
NG_4083_1,0.95
NG_1050_1,0.95
NG_4082_2,0.95
NG_12549_1,0.95
NG_6164_1,0.95
NG_4077_1,0.95
NG_2119_1,0.95
NG_6165_1,0.95
NG_13253_2,0.95
NG_6167_1,0.95
NG_12562_1,0.95
NG_12563_1,0.95
NG_13253_1,0.95
NG_6175_4,0.95
NG_13287_3,0.95
NG_12537_2,0.95
NG_1077_1,0.95
NG_6106_1,0.95
NG_13270_1,0.95
NG_4075_1,0.95
NG_13296_6,0.95
NG_13287_2,0.95
NG_6105_1,0.95
NG_12530_5,0.95
NG_12529_4,0.95
NG_6104_1,0.95
NG_12527_1,0.95
NG_12526_1,0.95
NG_6101_1,0.95
NG_2117_1,0.95
NG_12574_2,0.95
NG_1049_1,0.95
NG_12517_1,0.95
NG_2116_1,0.95
NG_1076_1,0.95
NG_13410_1,0.95
NG_13296_9,0.95
NG_6074_1,0.95
NG_6073_1,0.95
NG_12508_U1,0.95
NG_6072_1,0.95
NG_2115_1,0.95
NG_12506_1,0.95
NG_13312_2,0.95
NG_13312_1,0.95
NG_1075_1,0.95
NG_6069_1,0.95
NG_8158_3,0.95
NG_4060_1,0.95
NG_8158_2,0.95
NG_8152_7,0.95
NG_13417_1,0.95
NG_6008_2,0.95
NG_13126_6,0.95
NG_13126_5,0.95
NG_8139_2,0.95
NG_4059_1,0.95
NG_13312_3,0.95
NG_8139_1,0.95
NG_8116_1,0.95
NG_6007_1,0.95
NG_8115_1,0.95
NG_6006_3,0.95
NG_4058_1,0.95
NG_4052_1,0.95
NG_8080_1,0.95
NG_8079_1,0.95
NG_8078_1,0.95
NG_1048_1,0.95
NG_8051_1,0.95
NG_8050_1,0.95
NG_8049_1,0.95
NG_8046_1,0.95
NG_2103_1,0.95
NG_7414_2,0.95
NG_7414_1,0.95
NG_12597_1,0.95
NG_4035_1,0.95
NG_7400_81,0.95
NG_7400_74,0.95
NG_5326_7,0.95
NG_1073_1,0.95
NG_5325_6,0.95
NG_7392_1,0.95
NG_5324_8,0.95
NG_12994_1,0.95
NG_7357_1,0.95
NG_7353_4,0.95
NG_1072_1,0.95
NG_6233_3,0.95
NG_6182_1,0.95
NG_12958_1,0.95
NG_5282_1,0.95
NG_2085_1,0.95
NG_13356_2,0.95
NG_13356_1,0.95
NG_7307_1,0.95
NG_13357_2,0.95
NG_2084_1,0.95
NG_13357_1,0.95
NG_13355_2,0.95
NG_5207_1,0.95
NG_7184_8,0.95
NG_2083_1,0.95
NG_13358_2,0.95
NG_7184_7,0.95
NG_7184_6,0.95
NG_7184_5,0.95
NG_7184_4,0.95
NG_7184_3,0.95
NG_7184_2,0.95
NG_7184_1,0.95
NG_7170_31,0.95
NG_2082_1,0.95
NG_13355_1,0.95
NG_7169_56,0.95
NG_7168_55,0.95
NG_7167_54,0.95
NG_12862_1,0.95
NG_12861_6,0.95
NG_7166_53,0.95
NG_12861_5,0.95
NG_12861_4,0.95
NG_7165_52,0.95
NG_12861_3,0.95
NG_12861_2,0.95
NG_7164_51,0.95
NG_12861_1,0.95
NG_12862_2,0.95
NG_12862_3,0.95
NG_12862_4,0.95
NG_12862_5,0.95
NG_12862_6,0.95
NG_7159_8,0.95
NG_7159_44,0.95
NG_7159_43,0.95
NG_7159_42,0.95
NG_7159_41,0.95
NG_7159_34,0.95
NG_7159_33,0.95
NG_7159_32,0.95
NG_7144_1,0.95
NG_12806_1,0.95
NG_7137_1,0.95
NG_12805_1,0.95
NG_7136_1,0.95
