Time_index,TX_NG,TX_coal,TX_oil,Nuclear
0,0.053,0.096,0.074,0.0
1,2.88,2.79,11.88,0.71
2,2.88,2.79,11.88,0.71
3,2.88,2.79,11.88,0.71
4,2.88,2.79,11.88,0.71
5,2.88,2.79,11.88,0.71
6,2.88,2.79,11.88,0.71
7,2.88,2.79,11.88,0.71
8,2.88,2.79,11.88,0.71
9,2.88,2.79,11.88,0.71
10,2.88,2.79,11.88,0.71
11,2.88,2.79,11.88,0.71
12,2.88,2.79,11.88,0.71
13,2.88,2.79,11.88,0.71
14,2.88,2.79,11.88,0.71
15,2.88,2.79,11.88,0.71
16,2.88,2.79,11.88,0.71
17,2.88,2.79,11.88,0.71
18,2.88,2.79,11.88,0.71
19,2.88,2.79,11.88,0.71
20,2.88,2.79,11.88,0.71
21,2.88,2.79,11.88,0.71
22,2.88,2.79,11.88,0.71
23,2.88,2.79,11.88,0.71
24,2.88,2.79,11.88,0.71
25,2.88,2.79,11.88,0.71
26,2.88,2.79,11.88,0.71
27,2.88,2.79,11.88,0.71
28,2.88,2.79,11.88,0.71
29,2.88,2.79,11.88,0.71
30,2.88,2.79,11.88,0.71
31,2.88,2.79,11.88,0.71
32,2.88,2.79,11.88,0.71
33,2.88,2.79,11.88,0.71
34,2.88,2.79,11.88,0.71
35,2.88,2.79,11.88,0.71
36,2.88,2.79,11.88,0.71
37,2.88,2.79,11.88,0.71
38,2.88,2.79,11.88,0.71
39,2.88,2.79,11.88,0.71
40,2.88,2.79,11.88,0.71
41,2.88,2.79,11.88,0.71
42,2.88,2.79,11.88,0.71
43,2.88,2.79,11.88,0.71
44,2.88,2.79,11.88,0.71
45,2.88,2.79,11.88,0.71
46,2.88,2.79,11.88,0.71
47,2.88,2.79,11.88,0.71
48,2.88,2.79,11.88,0.71
49,2.88,2.79,11.88,0.71
50,2.88,2.79,11.88,0.71
51,2.88,2.79,11.88,0.71
52,2.88,2.79,11.88,0.71
53,2.88,2.79,11.88,0.71
54,2.88,2.79,11.88,0.71
55,2.88,2.79,11.88,0.71
56,2.88,2.79,11.88,0.71
57,2.88,2.79,11.88,0.71
58,2.88,2.79,11.88,0.71
59,2.88,2.79,11.88,0.71
60,2.88,2.79,11.88,0.71
61,2.88,2.79,11.88,0.71
62,2.88,2.79,11.88,0.71
63,2.88,2.79,11.88,0.71
64,2.88,2.79,11.88,0.71
65,2.88,2.79,11.88,0.71
66,2.88,2.79,11.88,0.71
67,2.88,2.79,11.88,0.71
68,2.88,2.79,11.88,0.71
69,2.88,2.79,11.88,0.71
70,2.88,2.79,11.88,0.71
71,2.88,2.79,11.88,0.71
72,2.88,2.79,11.88,0.71
73,2.88,2.79,11.88,0.71
74,2.88,2.79,11.88,0.71
75,2.88,2.79,11.88,0.71
76,2.88,2.79,11.88,0.71
77,2.88,2.79,11.88,0.71
78,2.88,2.79,11.88,0.71
79,2.88,2.79,11.88,0.71
80,2.88,2.79,11.88,0.71
81,2.88,2.79,11.88,0.71
82,2.88,2.79,11.88,0.71
83,2.88,2.79,11.88,0.71
84,2.88,2.79,11.88,0.71
85,2.88,2.79,11.88,0.71
86,2.88,2.79,11.88,0.71
87,2.88,2.79,11.88,0.71
88,2.88,2.79,11.88,0.71
89,2.88,2.79,11.88,0.71
90,2.88,2.79,11.88,0.71
91,2.88,2.79,11.88,0.71
92,2.88,2.79,11.88,0.71
93,2.88,2.79,11.88,0.71
94,2.88,2.79,11.88,0.71
95,2.88,2.79,11.88,0.71
96,2.88,2.79,11.88,0.71
97,2.88,2.79,11.88,0.71
98,2.88,2.79,11.88,0.71
99,2.88,2.79,11.88,0.71
100,2.88,2.79,11.88,0.71
101,2.88,2.79,11.88,0.71
102,2.88,2.79,11.88,0.71
103,2.88,2.79,11.88,0.71
104,2.88,2.79,11.88,0.71
105,2.88,2.79,11.88,0.71
106,2.88,2.79,11.88,0.71
107,2.88,2.79,11.88,0.71
108,2.88,2.79,11.88,0.71
109,2.88,2.79,11.88,0.71
110,2.88,2.79,11.88,0.71
111,2.88,2.79,11.88,0.71
112,2.88,2.79,11.88,0.71
113,2.88,2.79,11.88,0.71
114,2.88,2.79,11.88,0.71
115,2.88,2.79,11.88,0.71
116,2.88,2.79,11.88,0.71
117,2.88,2.79,11.88,0.71
118,2.88,2.79,11.88,0.71
119,2.88,2.79,11.88,0.71
120,2.88,2.79,11.88,0.71
121,2.88,2.79,11.88,0.71
122,2.88,2.79,11.88,0.71
123,2.88,2.79,11.88,0.71
124,2.88,2.79,11.88,0.71
125,2.88,2.79,11.88,0.71
126,2.88,2.79,11.88,0.71
127,2.88,2.79,11.88,0.71
128,2.88,2.79,11.88,0.71
129,2.88,2.79,11.88,0.71
130,2.88,2.79,11.88,0.71
131,2.88,2.79,11.88,0.71
132,2.88,2.79,11.88,0.71
133,2.88,2.79,11.88,0.71
134,2.88,2.79,11.88,0.71
135,2.88,2.79,11.88,0.71
136,2.88,2.79,11.88,0.71
137,2.88,2.79,11.88,0.71
138,2.88,2.79,11.88,0.71
139,2.88,2.79,11.88,0.71
140,2.88,2.79,11.88,0.71
141,2.88,2.79,11.88,0.71
142,2.88,2.79,11.88,0.71
143,2.88,2.79,11.88,0.71
144,2.88,2.79,11.88,0.71
145,2.88,2.79,11.88,0.71
146,2.88,2.79,11.88,0.71
147,2.88,2.79,11.88,0.71
148,2.88,2.79,11.88,0.71
149,2.88,2.79,11.88,0.71
150,2.88,2.79,11.88,0.71
151,2.88,2.79,11.88,0.71
152,2.88,2.79,11.88,0.71
153,2.88,2.79,11.88,0.71
154,2.88,2.79,11.88,0.71
155,2.88,2.79,11.88,0.71
156,2.88,2.79,11.88,0.71
157,2.88,2.79,11.88,0.71
158,2.88,2.79,11.88,0.71
159,2.88,2.79,11.88,0.71
160,2.88,2.79,11.88,0.71
161,2.88,2.79,11.88,0.71
162,2.88,2.79,11.88,0.71
163,2.88,2.79,11.88,0.71
164,2.88,2.79,11.88,0.71
165,2.88,2.79,11.88,0.71
166,2.88,2.79,11.88,0.71
167,2.88,2.79,11.88,0.71
168,2.88,2.79,11.88,0.71
169,2.88,2.79,11.88,0.71
170,2.88,2.79,11.88,0.71
171,2.88,2.79,11.88,0.71
172,2.88,2.79,11.88,0.71
173,2.88,2.79,11.88,0.71
174,2.88,2.79,11.88,0.71
175,2.88,2.79,11.88,0.71
176,2.88,2.79,11.88,0.71
177,2.88,2.79,11.88,0.71
178,2.88,2.79,11.88,0.71
179,2.88,2.79,11.88,0.71
180,2.88,2.79,11.88,0.71
181,2.88,2.79,11.88,0.71
182,2.88,2.79,11.88,0.71
183,2.88,2.79,11.88,0.71
184,2.88,2.79,11.88,0.71
185,2.88,2.79,11.88,0.71
186,2.88,2.79,11.88,0.71
187,2.88,2.79,11.88,0.71
188,2.88,2.79,11.88,0.71
189,2.88,2.79,11.88,0.71
190,2.88,2.79,11.88,0.71
191,2.88,2.79,11.88,0.71
192,2.88,2.79,11.88,0.71
193,2.88,2.79,11.88,0.71
194,2.88,2.79,11.88,0.71
195,2.88,2.79,11.88,0.71
196,2.88,2.79,11.88,0.71
197,2.88,2.79,11.88,0.71
198,2.88,2.79,11.88,0.71
199,2.88,2.79,11.88,0.71
200,2.88,2.79,11.88,0.71
201,2.88,2.79,11.88,0.71
202,2.88,2.79,11.88,0.71
203,2.88,2.79,11.88,0.71
204,2.88,2.79,11.88,0.71
205,2.88,2.79,11.88,0.71
206,2.88,2.79,11.88,0.71
207,2.88,2.79,11.88,0.71
208,2.88,2.79,11.88,0.71
209,2.88,2.79,11.88,0.71
210,2.88,2.79,11.88,0.71
211,2.88,2.79,11.88,0.71
212,2.88,2.79,11.88,0.71
213,2.88,2.79,11.88,0.71
214,2.88,2.79,11.88,0.71
215,2.88,2.79,11.88,0.71
216,2.88,2.79,11.88,0.71
217,2.88,2.79,11.88,0.71
218,2.88,2.79,11.88,0.71
219,2.88,2.79,11.88,0.71
220,2.88,2.79,11.88,0.71
221,2.88,2.79,11.88,0.71
222,2.88,2.79,11.88,0.71
223,2.88,2.79,11.88,0.71
224,2.88,2.79,11.88,0.71
225,2.88,2.79,11.88,0.71
226,2.88,2.79,11.88,0.71
227,2.88,2.79,11.88,0.71
228,2.88,2.79,11.88,0.71
229,2.88,2.79,11.88,0.71
230,2.88,2.79,11.88,0.71
231,2.88,2.79,11.88,0.71
232,2.88,2.79,11.88,0.71
233,2.88,2.79,11.88,0.71
234,2.88,2.79,11.88,0.71
235,2.88,2.79,11.88,0.71
236,2.88,2.79,11.88,0.71
237,2.88,2.79,11.88,0.71
238,2.88,2.79,11.88,0.71
239,2.88,2.79,11.88,0.71
240,2.88,2.79,11.88,0.71
241,2.88,2.79,11.88,0.71
242,2.88,2.79,11.88,0.71
243,2.88,2.79,11.88,0.71
244,2.88,2.79,11.88,0.71
245,2.88,2.79,11.88,0.71
246,2.88,2.79,11.88,0.71
247,2.88,2.79,11.88,0.71
248,2.88,2.79,11.88,0.71
249,2.88,2.79,11.88,0.71
250,2.88,2.79,11.88,0.71
251,2.88,2.79,11.88,0.71
252,2.88,2.79,11.88,0.71
253,2.88,2.79,11.88,0.71
254,2.88,2.79,11.88,0.71
255,2.88,2.79,11.88,0.71
256,2.88,2.79,11.88,0.71
257,2.88,2.79,11.88,0.71
258,2.88,2.79,11.88,0.71
259,2.88,2.79,11.88,0.71
260,2.88,2.79,11.88,0.71
261,2.88,2.79,11.88,0.71
262,2.88,2.79,11.88,0.71
263,2.88,2.79,11.88,0.71
264,2.88,2.79,11.88,0.71
265,2.88,2.79,11.88,0.71
266,2.88,2.79,11.88,0.71
267,2.88,2.79,11.88,0.71
268,2.88,2.79,11.88,0.71
269,2.88,2.79,11.88,0.71
270,2.88,2.79,11.88,0.71
271,2.88,2.79,11.88,0.71
272,2.88,2.79,11.88,0.71
273,2.88,2.79,11.88,0.71
274,2.88,2.79,11.88,0.71
275,2.88,2.79,11.88,0.71
276,2.88,2.79,11.88,0.71
277,2.88,2.79,11.88,0.71
278,2.88,2.79,11.88,0.71
279,2.88,2.79,11.88,0.71
280,2.88,2.79,11.88,0.71
281,2.88,2.79,11.88,0.71
282,2.88,2.79,11.88,0.71
283,2.88,2.79,11.88,0.71
284,2.88,2.79,11.88,0.71
285,2.88,2.79,11.88,0.71
286,2.88,2.79,11.88,0.71
287,2.88,2.79,11.88,0.71
288,2.88,2.79,11.88,0.71
289,2.88,2.79,11.88,0.71
290,2.88,2.79,11.88,0.71
291,2.88,2.79,11.88,0.71
292,2.88,2.79,11.88,0.71
293,2.88,2.79,11.88,0.71
294,2.88,2.79,11.88,0.71
295,2.88,2.79,11.88,0.71
296,2.88,2.79,11.88,0.71
297,2.88,2.79,11.88,0.71
298,2.88,2.79,11.88,0.71
299,2.88,2.79,11.88,0.71
300,2.88,2.79,11.88,0.71
301,2.88,2.79,11.88,0.71
302,2.88,2.79,11.88,0.71
303,2.88,2.79,11.88,0.71
304,2.88,2.79,11.88,0.71
305,2.88,2.79,11.88,0.71
306,2.88,2.79,11.88,0.71
307,2.88,2.79,11.88,0.71
308,2.88,2.79,11.88,0.71
309,2.88,2.79,11.88,0.71
310,2.88,2.79,11.88,0.71
311,2.88,2.79,11.88,0.71
312,2.88,2.79,11.88,0.71
313,2.88,2.79,11.88,0.71
314,2.88,2.79,11.88,0.71
315,2.88,2.79,11.88,0.71
316,2.88,2.79,11.88,0.71
317,2.88,2.79,11.88,0.71
318,2.88,2.79,11.88,0.71
319,2.88,2.79,11.88,0.71
320,2.88,2.79,11.88,0.71
321,2.88,2.79,11.88,0.71
322,2.88,2.79,11.88,0.71
323,2.88,2.79,11.88,0.71
324,2.88,2.79,11.88,0.71
325,2.88,2.79,11.88,0.71
326,2.88,2.79,11.88,0.71
327,2.88,2.79,11.88,0.71
328,2.88,2.79,11.88,0.71
329,2.88,2.79,11.88,0.71
330,2.88,2.79,11.88,0.71
331,2.88,2.79,11.88,0.71
332,2.88,2.79,11.88,0.71
333,2.88,2.79,11.88,0.71
334,2.88,2.79,11.88,0.71
335,2.88,2.79,11.88,0.71
336,2.88,2.79,11.88,0.71
337,2.88,2.79,11.88,0.71
338,2.88,2.79,11.88,0.71
339,2.88,2.79,11.88,0.71
340,2.88,2.79,11.88,0.71
341,2.88,2.79,11.88,0.71
342,2.88,2.79,11.88,0.71
343,2.88,2.79,11.88,0.71
344,2.88,2.79,11.88,0.71
345,2.88,2.79,11.88,0.71
346,2.88,2.79,11.88,0.71
347,2.88,2.79,11.88,0.71
348,2.88,2.79,11.88,0.71
349,2.88,2.79,11.88,0.71
350,2.88,2.79,11.88,0.71
351,2.88,2.79,11.88,0.71
352,2.88,2.79,11.88,0.71
353,2.88,2.79,11.88,0.71
354,2.88,2.79,11.88,0.71
355,2.88,2.79,11.88,0.71
356,2.88,2.79,11.88,0.71
357,2.88,2.79,11.88,0.71
358,2.88,2.79,11.88,0.71
359,2.88,2.79,11.88,0.71
360,2.88,2.79,11.88,0.71
361,2.88,2.79,11.88,0.71
362,2.88,2.79,11.88,0.71
363,2.88,2.79,11.88,0.71
364,2.88,2.79,11.88,0.71
365,2.88,2.79,11.88,0.71
366,2.88,2.79,11.88,0.71
367,2.88,2.79,11.88,0.71
368,2.88,2.79,11.88,0.71
369,2.88,2.79,11.88,0.71
370,2.88,2.79,11.88,0.71
371,2.88,2.79,11.88,0.71
372,2.88,2.79,11.88,0.71
373,2.88,2.79,11.88,0.71
374,2.88,2.79,11.88,0.71
375,2.88,2.79,11.88,0.71
376,2.88,2.79,11.88,0.71
377,2.88,2.79,11.88,0.71
378,2.88,2.79,11.88,0.71
379,2.88,2.79,11.88,0.71
380,2.88,2.79,11.88,0.71
381,2.88,2.79,11.88,0.71
382,2.88,2.79,11.88,0.71
383,2.88,2.79,11.88,0.71
384,2.88,2.79,11.88,0.71
385,2.88,2.79,11.88,0.71
386,2.88,2.79,11.88,0.71
387,2.88,2.79,11.88,0.71
388,2.88,2.79,11.88,0.71
389,2.88,2.79,11.88,0.71
390,2.88,2.79,11.88,0.71
391,2.88,2.79,11.88,0.71
392,2.88,2.79,11.88,0.71
393,2.88,2.79,11.88,0.71
394,2.88,2.79,11.88,0.71
395,2.88,2.79,11.88,0.71
