Region_description,Network_zones,CapRes_1
TX,z1,0.1375
TX,z2,0.1375
TX,z3,0.1375
TX,z4,0.1375
TX,z5,0.1375
TX,z6,0.1375
TX,z7,0.1375
TX,z8,0.1375
TX,z9,0.1375
TX,z10,0.1375
TX,z11,0.1375
TX,z12,0.1375
TX,z13,0.1375
TX,z14,0.1375
TX,z15,0.1375
TX,z16,0.1375
TX,z17,0.1375
TX,z18,0.1375
TX,z19,0.1375
TX,z20,0.1375
TX,z21,0.1375
TX,z22,0.1375
TX,z23,0.1375
TX,z24,0.1375
TX,z25,0.1375
TX,z26,0.1375
TX,z27,0.1375
TX,z28,0.1375
TX,z29,0.1375
TX,z30,0.1375
TX,z31,0.1375
TX,z32,0.1375
TX,z33,0.1375
TX,z34,0.1375
TX,z35,0.1375
TX,z36,0.1375
TX,z37,0.1375
TX,z38,0.1375
TX,z39,0.1375
TX,z40,0.1375
TX,z41,0.1375
TX,z42,0.1375
TX,z43,0.1375
TX,z44,0.1375
TX,z45,0.1375
TX,z46,0.1375
TX,z47,0.1375
TX,z48,0.1375
TX,z49,0.1375
TX,z50,0.1375
TX,z51,0.1375
TX,z52,0.1375
TX,z53,0.1375
TX,z54,0.1375
TX,z55,0.1375
TX,z56,0.1375
TX,z57,0.1375
TX,z58,0.1375
TX,z59,0.1375
TX,z60,0.1375
TX,z61,0.1375
TX,z62,0.1375
TX,z63,0.1375
TX,z64,0.1375
TX,z65,0.1375
TX,z66,0.1375
TX,z67,0.1375
TX,z68,0.1375
TX,z69,0.1375
TX,z70,0.1375
TX,z71,0.1375
TX,z72,0.1375
TX,z73,0.1375
TX,z74,0.1375
TX,z75,0.1375
TX,z76,0.1375
TX,z77,0.1375
TX,z78,0.1375
TX,z79,0.1375
TX,z80,0.1375
TX,z81,0.1375
TX,z82,0.1375
TX,z83,0.1375
TX,z84,0.1375
TX,z85,0.1375
TX,z86,0.1375
TX,z87,0.1375
TX,z88,0.1375
TX,z89,0.1375
TX,z90,0.1375
TX,z91,0.1375
TX,z92,0.1375
TX,z93,0.1375
TX,z94,0.1375
TX,z95,0.1375
TX,z96,0.1375
TX,z97,0.1375
TX,z98,0.1375
TX,z99,0.1375
TX,z100,0.1375
TX,z101,0.1375
TX,z102,0.1375
TX,z103,0.1375
TX,z104,0.1375
TX,z105,0.1375
TX,z106,0.1375
TX,z107,0.1375
TX,z108,0.1375
TX,z109,0.1375
TX,z110,0.1375
TX,z111,0.1375
TX,z112,0.1375
TX,z113,0.1375
TX,z114,0.1375
TX,z115,0.1375
TX,z116,0.1375
TX,z117,0.1375
TX,z118,0.1375
TX,z119,0.1375
TX,z120,0.1375
TX,z121,0.1375
TX,z122,0.1375
TX,z123,0.1375
TX,z124,0.1375
TX,z125,0.1375
TX,z126,0.1375
TX,z127,0.1375
TX,z128,0.1375
TX,z129,0.1375
TX,z130,0.1375
TX,z131,0.1375
TX,z132,0.1375
TX,z133,0.1375
TX,z134,0.1375
TX,z135,0.1375
TX,z136,0.1375
TX,z137,0.1375
TX,z138,0.1375
TX,z139,0.1375
TX,z140,0.1375
TX,z141,0.1375
TX,z142,0.1375
TX,z143,0.1375
TX,z144,0.1375
TX,z145,0.1375
TX,z146,0.1375
TX,z147,0.1375
TX,z148,0.1375
TX,z149,0.1375
TX,z150,0.1375
TX,z151,0.1375
TX,z152,0.1375
TX,z153,0.1375
TX,z154,0.1375
TX,z155,0.1375
TX,z156,0.1375
TX,z157,0.1375
TX,z158,0.1375
TX,z159,0.1375
TX,z160,0.1375
TX,z161,0.1375
TX,z162,0.1375
TX,z163,0.1375
TX,z164,0.1375
TX,z165,0.1375
TX,z166,0.1375
TX,z167,0.1375
TX,z168,0.1375
TX,z169,0.1375
TX,z170,0.1375
TX,z171,0.1375
TX,z172,0.1375
TX,z173,0.1375
TX,z174,0.1375
TX,z175,0.1375
TX,z176,0.1375
TX,z177,0.1375
TX,z178,0.1375
TX,z179,0.1375
TX,z180,0.1375
TX,z181,0.1375
TX,z182,0.1375
TX,z183,0.1375
TX,z184,0.1375
TX,z185,0.1375
TX,z186,0.1375
TX,z187,0.1375
TX,z188,0.1375
TX,z189,0.1375
TX,z190,0.1375
TX,z191,0.1375
TX,z192,0.1375
TX,z193,0.1375
TX,z194,0.1375
TX,z195,0.1375
TX,z196,0.1375
TX,z197,0.1375
TX,z198,0.1375
TX,z199,0.1375
TX,z200,0.1375
TX,z201,0.1375
TX,z202,0.1375
TX,z203,0.1375
TX,z204,0.1375
TX,z205,0.1375
TX,z206,0.1375
TX,z207,0.1375
TX,z208,0.1375
TX,z209,0.1375
TX,z210,0.1375
TX,z211,0.1375
TX,z212,0.1375
TX,z213,0.1375
TX,z214,0.1375
TX,z215,0.1375
TX,z216,0.1375
TX,z217,0.1375
TX,z218,0.1375
TX,z219,0.1375
TX,z220,0.1375
TX,z221,0.1375
TX,z222,0.1375
TX,z223,0.1375
TX,z224,0.1375
TX,z225,0.1375
TX,z226,0.1375
TX,z227,0.1375
TX,z228,0.1375
TX,z229,0.1375
TX,z230,0.1375
TX,z231,0.1375
TX,z232,0.1375
TX,z233,0.1375
TX,z234,0.1375
TX,z235,0.1375
TX,z236,0.1375
TX,z237,0.1375
TX,z238,0.1375
TX,z239,0.1375
TX,z240,0.1375
TX,z241,0.1375
TX,z242,0.1375
TX,z243,0.1375
TX,z244,0.1375
TX,z245,0.1375
TX,z246,0.1375
TX,z247,0.1375
TX,z248,0.1375
TX,z249,0.1375
TX,z250,0.1375
TX,z251,0.1375
TX,z252,0.1375
TX,z253,0.1375
TX,z254,0.1375
