Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Ramp_Up_Percentage,Ramp_Dn_Percentage,region,cluster
OTH_4100_2,478,2,0,0,11.7,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.25,0.9,0.9,TX,1
OTH_4100_1,478,2,0,0,11.7,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.25,0.9,0.9,TX,1
OTH_4069_3,455,2,0,0,12.0,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.25,0.9,0.9,TX,1
OTH_7312_1,1599,2,0,0,11.7,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.25,0.9,0.9,TX,1
OTH_7086_1,1405,2,0,0,14.0,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.25,0.9,0.9,TX,1
OTH_13408_1,2730,2,0,0,38.0,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.263,0.9,0.9,TX,1
OTH_13407_1,2729,2,0,0,23.8,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.25,0.9,0.9,TX,1
OTH_13407_2,2729,2,0,0,15.0,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.25,0.9,0.9,TX,1
OBL_4090_1,476,2,0,0,10.0,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.4,0.9,0.9,TX,1
OBL_8099_1,1801,2,0,0,100.0,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.7,0.9,0.9,TX,1
OBL_13398_1,2720,2,0,0,32.0,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.509,0.9,0.9,TX,1
NUC_5263_2,810,2,0,0,1195.0,-1,-1,508200.0,175000.0,2.8,10.497,Nuclear,0.921,0.05,0.05,TX,1
NUC_7099_2,1418,2,0,0,1280.0,-1,-1,508200.0,175000.0,2.8,10.497,Nuclear,0.9,0.05,0.05,TX,1
NUC_7098_1,1417,2,0,0,1300.0,-1,-1,508200.0,175000.0,2.8,10.497,Nuclear,0.9,0.05,0.05,TX,1
NUC_5262_1,809,2,0,0,1205.0,-1,-1,508200.0,175000.0,2.8,10.497,Nuclear,0.913,0.05,0.05,TX,1
NG_6233_2,1216,2,0,0,52.0,-1,-1,100900.0,25700.0,6.94,9.738,TX_NG,0.942,0.1,0.9,TX,1
NG_6233_1,1216,2,0,0,52.0,-1,-1,100900.0,25700.0,6.94,9.738,TX_NG,0.942,0.1,0.9,TX,1
NG_13270_3,2592,2,0,0,16.0,-1,-1,100900.0,25700.0,6.94,9.637,TX_NG,1.0,0.1,0.9,TX,1
NG_13270_4,2592,2,0,0,16.0,-1,-1,100900.0,25700.0,6.94,9.637,TX_NG,1.0,0.1,0.9,TX,1
NG_6182_4,1167,2,0,0,46.0,-1,-1,100900.0,25700.0,6.94,9.721,TX_NG,0.435,0.1,0.9,TX,1
NG_6182_3,1167,2,0,0,46.0,-1,-1,100900.0,25700.0,6.94,9.721,TX_NG,0.435,0.1,0.9,TX,1
NG_12577_1,1935,2,0,0,85.0,-1,-1,100900.0,25700.0,6.94,9.83,TX_NG,0.529,0.1,0.9,TX,1
NG_6182_2,1167,2,0,0,46.0,-1,-1,100900.0,25700.0,6.94,9.721,TX_NG,0.435,0.1,0.9,TX,1
NG_12574_1,1932,2,0,0,31.0,-1,-1,100900.0,25700.0,6.94,9.679,TX_NG,1.0,0.1,0.9,TX,1
NG_6175_3,1160,2,0,0,27.6,-1,-1,100900.0,25700.0,6.94,9.669,TX_NG,0.453,0.1,0.9,TX,1
NG_6175_2,1160,2,0,0,33.0,-1,-1,100900.0,25700.0,6.94,9.683,TX_NG,0.636,0.1,0.9,TX,1
NG_4085_4,471,2,0,0,157.0,-1,-1,100900.0,25700.0,6.94,10.034,TX_NG,0.382,0.1,0.9,TX,1
NG_6175_1,1160,2,0,0,46.5,-1,-1,100900.0,25700.0,6.94,9.721,TX_NG,0.495,0.1,0.9,TX,1
NG_12561_1,1919,2,0,0,237.0,-1,-1,112900.0,33500.0,2.12,6.228,TX_NG,0.717,0.1,0.64,TX,1
NG_4084_3,470,2,0,0,157.0,-1,-1,100900.0,25700.0,6.94,10.034,TX_NG,0.382,0.1,0.9,TX,1
NG_6166_1,1151,2,0,0,158.0,-1,-1,100900.0,25700.0,6.94,10.036,TX_NG,0.633,0.1,0.9,TX,1
NG_4083_1,469,2,0,0,292.0,-1,-1,112900.0,33500.0,2.12,6.321,TX_NG,0.4,0.1,0.64,TX,1
