Network_Lines,Start_Zone,End_Zone,Line_Max_Flow_MW,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,Line_Loss_Percentage,Line_Voltage_kV,Line_Reactance_Ohms
1,1,61,221.0,0.0,3023.584975206274,0.00524,1,0.0358
2,1,61,221.0,0.0,3023.584975206274,0.00524,1,0.0358
3,1,68,221.0,0.0,644.6917191034091,0.00435,1,0.02808
4,1,68,221.0,0.0,644.6917191034091,0.00435,1,0.02808
5,1,68,187.4,0.0,760.2821233823555,0.00117,1,0.00574
6,1,68,187.4,0.0,760.2821233823555,0.00117,1,0.00574
7,1,68,187.4,0.0,760.2821233823555,0.00117,1,0.00574
8,1,68,187.4,0.0,760.2821233823555,0.00117,1,0.00574
9,1,123,115.7,0.0,4280.7345136549975,0.00429,1,0.02048
10,2,7,98.0,0.0,50895.17645306371,0.07776,1,0.46693
11,3,22,450.0,0.0,502.37133649323465,0.00485,1,0.02012
12,3,54,98.0,0.0,4270.966058435928,0.01575,1,0.03782
13,4,120,547.0,0.0,8807.238752767209,0.00379,1,0.03128
14,4,377,523.0,0.0,10047.824958921125,0.0042,1,0.03
15,4,2125,444.7,0.0,5321.8813621799045,0.00292,1,0.02557
16,4,2148,685.0,0.0,2960.373460123945,0.00168,1,0.01541
17,5,58,221.0,0.0,1016.9993883352452,0.00599,1,0.02484
18,5,97,125.4,0.0,5416.513800530649,0.0178,1,0.05756
19,5,127,125.2,0.0,4080.17515656076,0.00575,1,0.02991
20,5,2731,127.0,0.0,2578.0022623875184,0.00437,1,0.02305
21,7,15,98.0,0.0,40796.04410927947,0.06223,1,0.37375
22,8,32,220.0,0.0,5059.216526237852,0.045,1,0.11002
23,8,36,184.0,0.0,7277.899794716424,0.0149,1,0.0719
24,8,66,149.0,0.0,4219.31671658238,0.0083,1,0.03628
25,8,2409,134.5,0.0,1356.535515670562,0.00327,1,0.01
26,8,2459,107.2,0.0,1831.6379961601724,0.00142,1,0.00641
27,8,2596,116.8,0.0,1540.5651134115133,0.00255,1,0.01121
28,8,2599,118.1,0.0,882.5115675189442,0.0019,1,0.008
29,8,2683,111.9,0.0,2037.0104567879173,0.00214,1,0.01013
30,8,2721,113.7,0.0,642.7490277340489,0.0008,1,0.00406
31,10,2,98.0,0.0,14554.475860958455,0.0555,1,0.1357
32,10,15,98.0,0.0,30794.93142937864,0.04703,1,0.28243
33,10,30,98.0,0.0,40374.26864170941,0.0616,1,0.3699
34,12,82,149.0,0.0,16365.66954892505,0.04935,1,0.20469
35,13,31,98.0,0.0,29556.343065249435,0.0451,1,0.27078
36,13,2165,148.0,0.0,5127.7494558144945,0.01107,1,0.03872
37,13,2626,124.4,0.0,5793.842086751616,0.00992,1,0.04415
38,14,46,177.0,0.0,10296.030136993713,0.03568,1,0.14794
39,14,78,149.0,0.0,13917.128471197382,0.04105,1,0.18293
40,14,2344,279.0,0.0,348.3108566263909,0.002,1,0.00755
41,14,2508,251.0,0.0,4323.30102106116,0.00928,1,0.0443
42,14,2624,162.0,0.0,5444.846486377826,0.01043,1,0.03689
43,14,2737,121.8,0.0,23156.95973261273,0.04193,1,0.23875
44,16,34,220.0,0.0,5566.545373910755,0.01828,1,0.10976
45,16,99,122.8,0.0,10121.45842902829,0.0142,1,0.06227
46,16,2131,120.0,0.0,6028.471968793751,0.01124,1,0.04564
47,17,29,149.0,0.0,10775.191483940898,0.03244,1,0.14188
48,17,37,221.0,0.0,1684.5789855321655,0.00752,1,0.03352
49,18,17,98.0,0.0,8458.691738699199,0.03226,1,0.07887
50,18,37,130.7,0.0,4267.789424976969,0.00934,1,0.04003
51,18,93,98.7,0.0,4506.3278963727735,0.00166,1,0.00778
52,18,2736,101.7,0.0,5100.942268301669,0.00959,1,0.03757
53,19,29,124.0,0.0,1501.995204622354,0.00362,1,0.01562
54,19,37,132.1,0.0,10684.213183433258,0.01945,1,0.09406
55,19,40,149.0,0.0,16605.8038986021,0.04977,1,0.20651
56,19,44,221.0,0.0,1813.685945404436,0.01522,1,0.0372
57,19,44,113.4,0.0,3534.6084121197564,0.01037,1,0.03783
58,19,55,122.5,0.0,12076.455673601962,0.0212,1,0.07377
59,19,61,125.7,0.0,5070.205387767462,0.01041,1,0.04812
60,19,68,225.0,0.0,3960.9693450052073,0.0044,1,0.028
61,19,79,220.0,0.0,13315.333591344215,0.03,1,0.16
62,20,25,149.0,0.0,2749.9330894826103,0.00828,1,0.03434
63,20,305,300.0,0.0,1347.3857274673744,0.0189,1,0.06
64,20,374,221.0,0.0,3677.6861043184917,0.00996,1,0.06938
65,22,28,221.0,0.0,5889.553993176564,0.01433,1,0.09253
66,22,28,221.0,0.0,5889.553993176564,0.01433,1,0.09253
67,24,18,98.0,0.0,8530.5726810005,0.01094,1,0.06572
68,24,85,149.0,0.0,4580.765402552644,0.01414,1,0.06303
69,24,2137,116.2,0.0,2884.3770341272802,0.00383,1,0.01939
70,25,5,149.0,0.0,8161.8131701471675,0.01842,1,0.0821
71,25,34,131.6,0.0,2658.823655158844,0.00627,1,0.02659
72,25,64,130.4,0.0,5230.3287528676565,0.0105,1,0.04669
73,25,79,121.8,0.0,4154.560255631047,0.00724,1,0.03337
74,27,44,221.0,0.0,5610.2941508475915,0.02505,1,0.10957
75,27,111,135.0,0.0,2062.2318484934035,0.00442,1,0.02
76,27,125,111.3,0.0,4485.622131968487,0.01162,1,0.04537
77,28,354,453.0,0.0,720.7345214063971,0.00428,1,0.01875
78,28,2681,122.4,0.0,1725.7487984935517,0.00338,1,0.01744
79,29,44,146.9,0.0,3411.8522756833886,0.00971,1,0.03238
80,29,55,221.0,0.0,5970.670390026264,0.02054,1,0.11733
81,30,38,98.0,0.0,48513.81908061934,0.07404,1,0.42285
82,31,7,98.0,0.0,31482.581544452616,0.04803,1,0.27434
83,32,36,98.0,0.0,15709.188795301847,0.01956,1,0.11746
84,32,83,450.0,0.0,399.7702367558237,0.00258,1,0.01056
85,32,2216,136.8,0.0,9537.450469492302,0.01962,1,0.08845
86,32,2459,228.0,0.0,4110.552350205322,0.01419,1,0.06582
87,32,2462,122.9,0.0,2678.355514364184,0.00808,1,0.03247
88,32,2533,116.6,0.0,3180.3986809272174,0.00613,1,0.03033
89,32,2536,140.7,0.0,3254.8943679322183,0.01214,1,0.04014
90,32,2540,117.5,0.0,3638.884247392192,0.00615,1,0.02502
91,32,2737,145.6,0.0,3449.8330954367098,0.00537,1,0.02563
92,33,76,637.0,0.0,8875.299801028084,0.003,1,0.031
93,33,296,647.0,0.0,22401.343789251983,0.0139,1,0.136
94,33,1951,439.0,0.0,5524.51475698271,0.00286,1,0.02306
95,33,2183,750.7,0.0,520.2895180731527,0.00048,1,0.00406
96,33,2217,550.4,0.0,5146.695673448184,0.00227,1,0.02247
97,34,62,118.8,0.0,5890.115877727296,0.00973,1,0.0354
98,34,64,98.0,0.0,6330.6390087347,0.00795,1,0.04771
99,34,79,223.3,0.0,1026.272601316429,0.00478,1,0.02272
100,34,79,223.3,0.0,1026.272601316429,0.00478,1,0.02272
101,34,79,223.3,0.0,1026.272601316429,0.00478,1,0.02272
102,34,101,138.1,0.0,4449.552916358952,0.00826,1,0.03775
103,36,2596,129.0,0.0,9590.812960938905,0.02325,1,0.12252
104,36,2661,450.0,0.0,3265.7383683787675,0.0131,1,0.06415
105,37,68,300.0,0.0,1844.2466717644556,0.00669,1,0.04319
106,37,93,129.4,0.0,6623.710851263428,0.01113,1,0.05556
